A/P,group,Scientific Name,Body Mass (g),Max. Indiv. Dispersal Distance (m),logmass,logdist
A,Fish,Sphyrna tiburo,1.46E+03,3.43E+05,3.164,5.53529412
A,Fish,Sphyrna zygaena,5.80E+04,1.12E+06,4.764,6.049992857
A,Reptile,Spilotes pullatus,3.55E+01,4.50E+01,1.55,1.653212514
A,Protista,Spirostomum,3.00E-03,7.00E+00,-2.523,0.84509804
A,Insect,Spodoptera exigua,2.00E-01,3.23E+06,-0.699,6.508529719
P,Plant,Sporobolus airoides,1.02E-04,15.2,-3.991,1.181843588
A,Fish,Squalus acanthias,3.16E+03,8.70E+06,3.499,6.939718882
A,Fish,Squalus megalops,5.16E+02,3.90E+04,2.713,4.591064607
P,Mollusca,Stagnicola elodes,2.50E-03,1.00E+04,-2.602,4
A,Reptile,Stegonotus cucullatus,6.33E+02,4.00E+02,2.801,2.602059991
A,Reptile,Sternotherus odoratus,3.21E+02,1.10E+01,2.506,1.041392685
P,Plant,Stipa comata,3.30E-03,100,-2.481,2
A,Reptile,Storeria dekayi,6.89E+00,1.97E+02,0.838,2.294466226
A,Birds,Streptopelia turtur,1.32E+02,3.04E+04,2.121,4.482873584
A,Birds,Streptopelia decaocto,1.52E+02,5.99E+04,2.182,4.777426822
A,Birds,Strix aluco,4.78E+02,3.53E+04,2.679,4.547774705
A,Birds,Strix nebulosa,1.16E+03,5.00E+04,3.064,4.698970004
A,Birds,Strix occidentalis,6.37E+02,8.74E+04,2.804,4.941511433
A,Birds,Sturnus vulgaris,8.47E+01,6.57E+04,1.928,4.81756537
A,Birds,Sylvia atricapilla,1.55E+01,1.17E+05,1.19,5.068185862
A,Birds,Sylvia communis,1.45E+01,5.24E+04,1.161,4.719331287
A,Birds,Sylvia curruca,1.01E+01,8.09E+04,1.004,4.907948522
A,Mammals,Sylvilagus bachmani,8.41E+02,3.52E+02,2.925,2.546542663
A,Mammals,Sylvilagus floridanus,1.10E+03,3.90E+03,3.041,3.591064607
A,Insect,Syrphus ribessii,1.50E-01,1.29E+06,-0.824,6.11058971
A,Amphib,Eleutherodactylus marnockii,2.28E+00,3.80E+02,0.359,2.580229091
P,Plant,Handroanthus guayacan,3.57E-02,223,-1.447,2.348304863
P,Plant,Tabebuia rosea,1.43E-02,246,-1.845,2.390935107
P,Plant,Tachigali versicolor,1.42E+00,141,0.153,2.149219113
A,Mammals,Tamiasciurus hudsonicus,2.04E+02,6.00E+02,2.31,2.77815125
P,Plant,Taraxacum officinale,6.00E-04,620,-3.222,2.792391689
A,Amphib,Taricha rivularis,1.88E+01,1.29E+04,1.273,4.109738805
A,Mammals,Taxidea taxus,7.80E+03,1.10E+05,3.892,5.041392685
P,Plant,Taxodium distichum,8.35E-02,1800,-1.078,3.255272505
P,Plant,Terminalia amazonica,4.07E-03,335,-2.39,2.525044807
P,Plant,Terminalia oblonga,5.43E-02,276,-1.265,2.440909082
P,Plant,Thalassia hemprichii,1.02E-01,73500,-0.991,4.866287339
A,Reptile,Thamnophis butleri,4.79E+01,1.30E+02,1.681,2.113943352
A,Reptile,Thamnophis ordinoides,4.62E+01,4.30E+01,1.665,1.633468456
A,Reptile,Thamnophis sauritus,4.71E+01,9.40E+01,1.673,1.973127854
A,Reptile,Thamnophis sirtalis,8.00E+01,8.30E+03,1.903,3.919078092
A,Mammals,Thomomys bottae,1.50E+02,3.00E+02,2.176,2.477121255
P,Plant,Thuja sp,1.31E-03,15000,-2.883,4.176091259
P,Plant,Tilia americana,9.52E-02,15,-1.021,1.176091259
A,Birds,Toxostoma curvirostre,7.90E+02,3.00E+04,2.898,4.477121255
A,Reptile,Trachemys scripta,2.35E+02,1.60E+03,2.372,3.204119983
P,Plant,Tragopogon porrifolius,6.80E-03,5.77,-2.167,0.761175813
P,Plant,Tragopogon pratensis,1.03E-02,1900,-1.987,3.278753601
A,Fish,Triaenodon obesus,4.24E+03,3.00E+03,3.627,3.477121255
A,Fish,Triakis megalopterus,9.74E+03,1.07E+06,3.988,6.027757205
A,Fish,Triakis semifasciata,3.53E+03,1.40E+05,3.548,5.146128036
P,Plant,Trichospermum mexicanum,2.96E-03,147,-2.529,2.167317335
A,Mammals,Trichosurus vulpecula,2.93E+03,1.28E+04,3.467,4.10720997
P,Plant,Trifolium arvense,3.90E-04,0.75,-3.409,-0.124938737
P,Plant,Trifolium dubium,3.20E-04,10,-3.495,1
P,Plant,Trifolium pallescens,4.40E-04,6,-3.356,0.77815125
P,Plant,Trillium ovatum,9.75E-03,1.8,-2.011,0.255272505
P,Plant,Trillium tschonoskii,9.75E-03,2.7,-2.011,0.431363764
P,Plant,Triplaris cumingiana,7.67E-02,211,-1.115,2.324282455
A,Amphib,Ichthyosaura alpestris,1.93E+00,5.00E+02,0.286,2.698970004
A,Amphib,Triturus carnifex,1.96E+01,2.99E+02,1.292,2.475671188
A,Amphib,Lissotriton vulgaris,3.39E+00,1.82E+02,0.53,2.260071388
A,Birds,Troglodytes troglodytes,9.30E+00,3.83E+04,0.968,4.583198774
P,Plant,Tsuga canadensis,2.42E-03,1600,-2.616,3.204119983
A,Birds,Turdus merula,9.50E+02,3.55E+05,2.978,5.550228353
A,Birds,Turdus philomelos,6.89E+01,5.02E+04,1.838,4.700703717
A,Birds,Turdus viscivorus,1.15E+02,4.31E+04,2.061,4.63447727
A,Mammals,Tursiops truncatus,1.75E+05,1.00E+06,5.243,6
P,Plant,Tussilago farfara,2.50E-04,4000,-3.602,3.602059991
A,Birds,Tympanuchus cupido,9.99E+02,1.08E+04,3,4.033423755
P,Plant,Typha latifolia,3.00E-05,5400,-4.523,3.73239376
A,Birds,Tyto alba,5.68E+02,9.71E+04,2.754,4.98721923
A,Mammals,Urocyon cinereoargenteus,3.90E+03,8.37E+04,3.591,4.922621672
P,Protista,Uronema,3.00E-09,3.20E+01,-8.523,1.505149978
A,Mammals,Ursus americanus,1.52E+05,2.19E+05,5.182,5.340444115
A,Mammals,Ursus americanus,1.30E+05,2.25E+05,5.114,5.352182518
A,Mammals,Ursus arctos,3.31E+05,1.34E+05,5.52,5.127104798
P,Protista,Vampyrellidae,3.00E-09,6.40E+01,-8.523,1.806179974
A,Reptile,Varanus varius,4.65E+03,1.80E+03,3.667,3.255272505
P,Plant,Vatairea erythrocarpa,1.18E+00,176,0.072,2.245512668
P,Plant,Verbascum thapsus,6.40E-05,13,-4.194,1.113943352
P,Plant,Viola blanda,1.33E-03,3.8,-2.876,0.579783597
P,Plant,Viola cucullata,1.33E-03,2.1,-2.876,0.322219295
P,Plant,Viola eriocarpa,1.33E-03,5.4,-2.876,0.73239376
P,Plant,Viola odorata,1.33E-03,50,-2.876,1.698970004
P,Plant,Viola sororia,1.33E-03,4.8,-2.876,0.681241237
P,Plant,Viola pedata,1.33E-03,5.1,-2.876,0.707570176
P,Plant,Viola rostrata,1.33E-03,4.2,-2.876,0.62324929
P,Plant,Viola spp.,1.33E-03,1.5,-2.876,0.176091259
P,Plant,Viola striata,1.33E-03,3.3,-2.876,0.51851394
A,Reptile,Vipera berus,3.77E+01,1.30E+03,1.576,3.113943352
A,Birds,Vireo griseus,1.10E+01,2.00E+04,1.041,4.301029996
P,Plant,Vitis vulpina,2.19E-02,24,-1.66,1.380211242
P,Protista,Vorticella,1.00E-06,6.40E+01,-6,1.806179974
P,Plant,Vouacapoua americana,4.82E+01,50,1.683,1.698970004
A,Mammals,Vulpes vulpes,5.20E+03,3.95E+05,3.716,5.596047008
P,Plant,Vulpia ciliata,5.50E-04,1.1,-3.26,0.041392685
P,Plant,Vulpia fasciculata,2.49E-03,0.921,-2.604,-0.03574037
A,Fish,Xiphias gladius,5.00E+03,3.05E+06,3.699,6.484755254
A,Birds,Zenaida macroura,1.23E+02,4.80E+03,2.09,3.681241237
A,Birds,Zonotrichia leucophrys,2.94E+02,2.60E+03,2.468,3.414973348
P,Plant,Zostera marina,8.00E-03,200,-2.097,2.301029996
