A/P,group,Scientific Name,Body Mass (g),Max. Indiv. Dispersal Distance (m),logmass,logdist
A,Fish,Carcharia staurus,6.73E+04,1.90E+06,4.828,6.278067331
A,Fish,Carcharodon carcharias,7.78E+05,1.45E+06,5.891,6.159867847
P,Plant,Cardamine resedifolia,1.80E-04,1,-3.745,0
A,Birds,Linaria cannabina,1.53E+01,2.20E+04,1.185,4.342422681
A,Birds,Carduelis carduelis,1.56E+01,5.22E+04,1.193,4.717670503
A,Birds,Chloris chloris,3.00E+01,1.50E+05,1.477,5.176091259
A,Birds,Acanthis flammea,1.30E+01,8.47E+04,1.114,4.92788341
A,Reptile,Caretta caretta,1.13E+05,1.46E+06,5.053,6.163757524
P,Plant,Carex extensa,1.17E-03,31,-2.932,1.491361694
P,Plant,Carex frigida,1.17E-03,1,-2.932,0
P,Plant,Carex pilulifera,1.67E-03,2,-2.778,0.301029996
P,Plant,Carex sp.,1.17E-03,3,-2.932,0.477121255
P,Plant,Carlina vulgaris,1.53E-03,1.47,-2.815,0.167317335
A,Reptile,Carphophis amoenus,5.52E+00,4.90E+01,0.742,1.69019608
P,Plant,Carpinus caroliniana,1.51E-02,19.4,-1.821,1.28780173
P,Plant,Carya cordiformis,2.91E+00,75,0.464,1.875061263
P,Plant,Carya glabra,2.67E+00,3.162,0.427,0.5
P,Plant,Carya ovata,4.54E+00,100,0.657,2
P,Plant,Casearia corymbosa,1.65E-03,200,-2.783,2.301029996
P,Plant,Castanea dentata,3.46E+00,11.874,0.539,1.074609556
A,Mammals,Castor canadensis,2.03E+04,4.06E+04,4.306,4.608526034
P,Plant,Catalpa bignonioides,2.21E-02,16.8,-1.656,1.225309282
A,Fish,Catostomus sp.,9.01E+01,4.97E+02,1.955,2.696356389
P,Plant,Cavanillesia platanifolia,3.06E+00,224,0.485,2.350248018
P,Plant,Cavanillesia platanifolia,4.12E-01,50,-0.385,1.698970004
P,Plant,Cedrela odorata,1.41E-02,410,-1.851,2.612783857
P,Plant,Ceiba pentandra,7.41E-02,314,-1.13,2.496929648
P,Plant,Cenchrus ciliaris,2.15E-03,7.26,-2.668,0.860936621
P,Plant,Centaurea scabiosa,7.50E-03,1.56,-2.125,0.193124598
P,Plant,Cerastium arvense,3.00E-04,1,-3.523,0
P,Plant,Cerastium pedunculatum,4.00E-04,1,-3.398,0
A,Mammals,Cervus canadensis,3.15E+05,1.85E+04,5.498,4.267171728
P,Plant,Hydrangea macrophylla,1.32E-01,775,-0.879,2.889301703
P,Plant,Chamaecyparis thyoides,1.50E-03,68.8,-2.824,1.837588438
P,Protista,Chaos,3.00E-03,6.40E+01,-2.523,1.806179974
A,Birds,Charadrius melodus,5.52E+02,5.96E+05,2.742,5.77524626
