"reported_name","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code","Unit","AgeAtMaturity","Field","Source","Database","Code"
"Polygala vulgaris","Polygala vulgaris","Polygala vulgaris","Plantae","Tracheophyta","Magnoliopsida","Fabales","Polygalaceae","gbif","GBIF:3191374","yrs","1","Age at first flowering","Fitter, A. H. and H. J. Peat 1994. The Ecological Flora Database. Journal of Ecology 82:415-425.","TRY","AgeAtMaturity"
"Polygala vulgaris","Polygala vulgaris","Polygala vulgaris","Plantae","Tracheophyta","Magnoliopsida","Fabales","Polygalaceae","gbif","GBIF:3191374","weeks","24","Age at first flowering","Fitter, A. H. and H. J. Peat 1994. The Ecological Flora Database. Journal of Ecology 82:415-425.","TRY","AgeAtMaturity"
"Quercus petraea","Quercus petraea","Quercus petraea","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","gbif","GBIF:2880130","yrs","20","Age at first flowering","Fitter, A. H. and H. J. Peat 1994. The Ecological Flora Database. Journal of Ecology 82:415-425.","TRY","AgeAtMaturity"
"Ranunculus sceleratus","Ranunculus sceleratus","Ranunculus sceleratus","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","gbif","GBIF:3033374","weeks","6","Age at first flowering","Fitter, A. H. and H. J. Peat 1994. The Ecological Flora Database. Journal of Ecology 82:415-425.","TRY","AgeAtMaturity"
"Rhinanthus minor","Rhinanthus minor","Rhinanthus minor","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","gbif","GBIF:3172043","weeks","6","Age at first flowering","Fitter, A. H. and H. J. Peat 1994. The Ecological Flora Database. Journal of Ecology 82:415-425.","TRY","AgeAtMaturity"
"Rumex hydrolapathum","Rumex hydrolapathum","Rumex hydrolapathum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","gbif","GBIF:7291247","yrs","1","Age at first flowering","Fitter, A. H. and H. J. Peat 1994. The Ecological Flora Database. Journal of Ecology 82:415-425.","TRY","AgeAtMaturity"
"Rumex obtusifolius","Rumex obtusifolius","Rumex obtusifolius","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","gbif","GBIF:2889011","yrs","1","Age at first flowering","Fitter, A. H. and H. J. Peat 1994. The Ecological Flora Database. Journal of Ecology 82:415-425.","TRY","AgeAtMaturity"
"Rumex obtusifolius","Rumex obtusifolius","Rumex obtusifolius","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","gbif","GBIF:2889011","yrs","1","Age at first flowering","Fitter, A. H. and H. J. Peat 1994. The Ecological Flora Database. Journal of Ecology 82:415-425.","TRY","AgeAtMaturity"
"Sanicula europaea","Sanicula europaea","Sanicula europaea","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:6027128","yrs","5","Age at first flowering","Fitter, A. H. and H. J. Peat 1994. The Ecological Flora Database. Journal of Ecology 82:415-425.","TRY","AgeAtMaturity"
"Saxifraga tridactylites","Saxifraga tridactylites","Saxifraga tridactylites","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Saxifragaceae","gbif","GBIF:3032833","weeks","24","Age at first flowering","Fitter, A. H. and H. J. Peat 1994. The Ecological Flora Database. Journal of Ecology 82:415-425.","TRY","AgeAtMaturity"
