"ID","Type","Eco","mean_cv_studylevel","sd_cv_studylevel","cv_res"
"A30_P1","LAT","Ter",1.82754844840175,1.7051746424355,"25km"
"A32_P1","LAT","Ter",0.0423584339719636,0.125330580052852,"25km"
"A33_P1","LAT","Ter",0.822833479723795,1.57104602952999,"25km"
"A36_P1","LAT","Ter",1.13117309682839,1.79350049407969,"25km"
"A37_P1","LAT","Ter",-0.040462372203668,0.132748267897424,"25km"
"A39_P1","LAT","Ter",0.503826239675676,0.510723654361415,"25km"
"A4_P1","LAT","Ter",1.77952326734124,4.85759372712367,"25km"
"A40_P1","LAT","Ter",1.12793444850972,1.11055413313406,"25km"
"A41_P1","LAT","Ter",-0.00128649112348365,0.10097097141876,"25km"
"A42_P1","LAT","Ter",-0.102246621823204,0.0491618419410372,"25km"
"A48_P1","LAT","Ter",0.423108809708146,1.07598568716949,"25km"
"A49_P1","LAT","Ter",0.0578729230610113,0.0671386571961562,"25km"
"A5_P1","LAT","Ter",-0.0359316205277162,0.146714581894199,"25km"
"A55_P1","LAT","Ter",0.0178307314852599,0.07515243971112,"25km"
"A55_P2","LAT","Ter",0.0467094425516932,0.0591727893250625,"25km"
"A55_P3","LAT","Ter",0.0167951486201127,0.0532558681919586,"25km"
"A57_P1","LAT","Ter",0.00408982696968156,0.0932401480358395,"25km"
"A59_P1","LAT","Ter",4.28509629672736,3.72109475840044,"25km"
"A6_P1","LAT","Ter",0.97835060838196,0.83900942339015,"25km"
"A60_P1","LAT","Ter",0.285844065248966,0.0565957807820211,"25km"
"A62_P1","LAT","Ter",0.0160094397223003,0.261192844354263,"25km"
"A63_P1","LAT","Ter",0.187253340252647,0.647705625261832,"25km"
"A64_P1","LAT","Ter",0.517951201606583,0.303440149357764,"25km"
"A64_P2","LAT","Ter",0.0944701061988085,0.892092460155026,"25km"
"A69_P1","LAT","Ter",0.188442581122315,0.332550797084283,"25km"
"A7_P1","LAT","Ter",1.63915112422766,1.8692125981495,"25km"
"A71_P1","LAT","Ter",1.36142431799634,5.49149213514708,"25km"
"A76_P1","LAT","Ter",0.0341035289162637,0.186898094015465,"25km"
"A76_P2","LAT","Ter",0.1002975222786,0.755147585409287,"25km"
"A77_P1","LAT","Ter",3.89398921898433,5.21167383738451,"25km"
"A79_P1","LAT","Ter",0.0154028922164192,0.0720290760677293,"25km"
"A8_P1","LAT","Ter",4.09621770741675,3.43729037706371,"25km"
"A8_P2","LAT","Ter",3.66513592858125,3.13075227693863,"25km"
"A8_P3","LAT","Ter",4.09621770741675,3.43729037706371,"25km"
"A80_P1","LAT","Ter",-0.0458665074159702,0.0481414165119179,"25km"
"A83_P1","LAT","Ter",0.181677530718152,0.389583948233127,"25km"
"A84_P1","LAT","Ter",0.0784530021038093,2.48692239852239,"25km"
"A85_P1","LAT","Ter",0.358822558257669,0.441310031122434,"25km"
"A85_P2","LAT","Ter",0.358822558257669,0.441310031122434,"25km"
"A88_P1","LAT","Ter",8.99177911845072,6.04143182797931,"25km"
"A9_P1","LAT","Ter",5.35679719682862,4.47266158388884,"25km"
