"ID","Type","Eco","mean_cv_studylevel","sd_cv_studylevel","cv_res"
"A152_P1","LAT","Mar",-0.641363421455026,0.564472629242248,"110km"
"A152_P1","LAT","Mar",-0.335136138044886,0.305213066928933,"25km"
"A152_P1","LAT","Mar",-0.357675933550733,0.314031309183833,"50km"
"A152_P2","LAT","Mar",-0.0535438217652532,0.321987469826538,"110km"
"A152_P2","LAT","Mar",0.00708029918747885,0.460480124530173,"25km"
"A152_P2","LAT","Mar",-0.032854137358642,0.361229634506964,"50km"
"A152_P3","LAT","Mar",-0.0336906572005578,0.758735426321589,"110km"
"A152_P3","LAT","Mar",1.13110504396456,2.5388912921217,"25km"
"A152_P3","LAT","Mar",0.709257505834103,1.98472967468901,"50km"
"A155_P1","LAT","Ter",6.59941470623016,3.74018334591785,"110km"
"A155_P1","LAT","Ter",4.08037192518343,3.47728672469262,"25km"
"A155_P1","LAT","Ter",5.28551665560116,3.29484284769132,"50km"
"A155_P2","LAT","Ter",1.99177667327305,3.08098631580159,"110km"
"A155_P2","LAT","Ter",0.931621892463883,2.157328160232,"25km"
"A155_P2","LAT","Ter",1.47204088426816,2.67959377607609,"50km"
"A156_P1","LAT","Ter",1.22686272594882,2.15455273177641,"110km"
"A156_P1","LAT","Ter",0.398255048574547,1.36319220084557,"25km"
"A156_P1","LAT","Ter",0.726482594408618,2.21574658014383,"50km"
"A157_P1","LAT","Ter",4.30913331508637,0.912294137920395,"110km"
"A157_P1","LAT","Ter",3.45326146517557,2.06806463948617,"25km"
"A157_P1","LAT","Ter",4.12486193287704,1.90317386978416,"50km"
"A160_P1","LAT","Mar",2.78354295648112,1.80348644725881,"110km"
"A160_P1","LAT","Mar",2.54455891930346,2.77056200533912,"25km"
"A160_P1","LAT","Mar",2.64476688547409,2.40917577143734,"50km"
"A161_P1","LAT","Mar",3.42477590743452,2.52229214552677,"110km"
"A161_P1","LAT","Mar",2.80510354383945,4.00894495459329,"25km"
"A161_P1","LAT","Mar",3.33292012426771,3.6348447206938,"50km"
"A162_P1","LAT","Ter",3.09993190690875,1.61687231189534,"110km"
"A162_P1","LAT","Ter",1.84701952092164,2.01549478206717,"25km"
"A162_P1","LAT","Ter",2.52601920255596,1.90809127285613,"50km"
"A164_P1","LAT","Ter",NA,NA,"110km"
"A164_P1","LAT","Ter",-0.0452631717547774,0.248867034542957,"25km"
"A164_P1","LAT","Ter",NA,NA,"50km"
"A165_P1","LAT","Mar",NA,NA,"110km"
"A165_P1","LAT","Mar",0.620131770817151,2.31001089412494,"25km"
"A165_P1","LAT","Mar",0.789685041193039,3.70147652731683,"50km"
"A166_P1","LAT","Mar",4.44024226016334,4.03293853451069,"110km"
"A166_P1","LAT","Mar",2.82777829861617,4.48854935188784,"25km"
"A166_P1","LAT","Mar",3.19070903522632,4.34197774783629,"50km"
"A167_P1","LAT","Ter",0.231384395119927,0.146417474572963,"110km"
"A167_P1","LAT","Ter",0.195440638488307,0.19597374709414,"25km"
"A167_P1","LAT","Ter",0.236576128707568,0.207782487515556,"50km"
"A168_P1","LAT","Ter",0.816028423166726,1.69707491771857,"110km"
"A168_P1","LAT","Ter",0.151959892770647,0.70447847990555,"25km"
"A168_P1","LAT","Ter",0.289566414429221,1.17157407842721,"50km"
"A17_P1","LAT","Ter",-1.3543630695343,3.69153671449545,"110km"
"A17_P1","LAT","Ter",0.0630168245705464,1.4562176296304,"25km"
"A17_P1","LAT","Ter",-0.109355338684206,1.38186468018966,"50km"
"A176_P1","LAT","Mar",NA,NA,"110km"
"A176_P1","LAT","Mar",0.00771525795409066,1.33247667740034,"25km"
"A176_P1","LAT","Mar",0.428627548739314,0.54218026181527,"50km"
"A18_P1","LAT","Ter",11.2131126035344,5.97638937187118,"110km"
"A18_P1","LAT","Ter",7.88276290423429,6.59653552471173,"25km"
"A18_P1","LAT","Ter",9.29978329571573,5.85963567478049,"50km"
"A180_P1","LAT","Ter",1.53620877537571,0.924646923932939,"110km"
"A180_P1","LAT","Ter",1.06536259572762,1.08036152563397,"25km"
"A180_P1","LAT","Ter",1.28385833672816,1.0436027407087,"50km"
"A181_P1","LAT","Ter",3.76378408180816,3.98121276910295,"110km"
"A181_P1","LAT","Ter",1.26959236183839,3.75359951805501,"25km"
"A181_P1","LAT","Ter",3.43350127854595,6.08380438533935,"50km"
"A183_P1","LAT","Ter",NA,NA,"110km"
"A183_P1","LAT","Ter",0.267211564379744,0.205169917396675,"25km"
"A183_P1","LAT","Ter",0.720126360654831,0.0392145658194456,"50km"
"A185_P1","LAT","Ter",4.28760364917772,3.67777856980353,"110km"
"A185_P1","LAT","Ter",1.37346931833945,3.55264446780362,"25km"
"A185_P1","LAT","Ter",3.65615454457715,5.83868080425735,"50km"
"A187_P1","LAT","Ter",2.40183677683984,2.06414574037417,"110km"
"A187_P1","LAT","Ter",0.795867973841014,2.03365146839163,"25km"
"A187_P1","LAT","Ter",2.05490567460431,3.2785705082828,"50km"
"A188_P1","LAT","Mar",NA,NA,"110km"
"A188_P1","LAT","Mar",3.71713772886678,1.71028182961911,"25km"
"A188_P1","LAT","Mar",6.11821422576904,0.646799820343782,"50km"
"A19_P1","LAT","Ter",13.3725414276123,5.84347512866398,"110km"
"A19_P1","LAT","Ter",4.15292282934072,7.14867523683156,"25km"
"A19_P1","LAT","Ter",9.09018616635106,7.35846127682152,"50km"
"A19_P2","LAT","Ter",4.99595235680279,4.06247142149627,"110km"
"A19_P2","LAT","Ter",0.666755344694815,3.20549804769807,"25km"
"A19_P2","LAT","Ter",1.4770682803481,4.79056722401662,"50km"
"A19_P3","LAT","Ter",0.503138422966003,0.00851152076583976,"110km"
"A19_P3","LAT","Ter",0.854113024173547,1.40098351710162,"25km"
"A19_P3","LAT","Ter",0.906916454667225,2.65874161771038,"50km"
"A19_P4","LAT","Ter",4.34713598814878,3.97761437019201,"110km"
"A19_P4","LAT","Ter",0.00241275020677761,1.92895303679703,"25km"
"A19_P4","LAT","Ter",-0.246494968704806,4.24768569819785,"50km"
"A194_P1","LAT","Mar",2.35302429352746,3.26612630696547,"110km"
"A194_P1","LAT","Mar",2.76380895726931,5.74735165463989,"25km"
"A194_P1","LAT","Mar",2.06106172618291,3.50745759872418,"50km"
"A196_P1","LAT","Mar",0.416688972933437,0.337428291776009,"110km"
"A196_P1","LAT","Mar",0.669231073358039,0.64874501009044,"25km"
"A196_P1","LAT","Mar",0.743218832380242,0.602838579084231,"50km"
"A196_P2","LAT","Mar",0.416688972933437,0.337428291776009,"110km"
"A196_P2","LAT","Mar",0.669231073358039,0.64874501009044,"25km"
"A196_P2","LAT","Mar",0.743218832380242,0.602838579084231,"50km"
"A196_P3","LAT","Mar",0.300224214021502,0.157580629572661,"110km"
"A196_P3","LAT","Mar",0.3572319659199,0.503249462610999,"25km"
"A196_P3","LAT","Mar",0.39760199761889,0.379825617783546,"50km"
"A196_P4","LAT","Mar",0.300224214021502,0.157580629572661,"110km"
"A196_P4","LAT","Mar",0.3572319659199,0.503249462610999,"25km"
"A196_P4","LAT","Mar",0.39760199761889,0.379825617783546,"50km"
"A2_P1","LAT","Ter",1.46781671493449,0.340696383658069,"110km"
"A2_P1","LAT","Ter",1.2338117431605,0.645226759630553,"25km"
"A2_P1","LAT","Ter",1.39524883376107,0.502678758991022,"50km"
"A20_P1","LAT","Ter",0.927637145047386,0.719802662973081,"110km"
"A20_P1","LAT","Ter",0.213804115194399,0.546928125164702,"25km"
"A20_P1","LAT","Ter",0.5136427371381,0.807153250628543,"50km"
"A201_P1","LAT","Mar",2.7665528864378,2.76215565755257,"110km"
"A201_P1","LAT","Mar",1.817563301482,2.34173556883009,"25km"
"A201_P1","LAT","Mar",2.13849906000825,2.12281507496319,"50km"
"A202_P1","LAT","Mar",1.09106898299769,0.735703771588771,"110km"
"A202_P1","LAT","Mar",1.09409546923693,0.856116798796554,"25km"
"A202_P1","LAT","Mar",1.10590134792383,0.813909209860642,"50km"
"A204_P1","LAT","Ter",6.60821771621704,1.20491674406547,"110km"
"A204_P1","LAT","Ter",2.21244920115722,9.97600677046144,"25km"
"A204_P1","LAT","Ter",3.83024644908997,4.29873866816678,"50km"
"A209_P1","LAT","Ter",-0.366452576308704,1.50468242187412,"110km"
"A209_P1","LAT","Ter",-0.279720665783501,1.09032607337171,"25km"
"A209_P1","LAT","Ter",-0.37572617618141,1.24282413732265,"50km"
"A209_P2","LAT","Ter",-0.0178297374638229,1.38847605503085,"110km"
"A209_P2","LAT","Ter",-0.0144044344109339,0.88189534311641,"25km"
"A209_P2","LAT","Ter",0.0487869754362662,1.04234743075842,"50km"
"A211_P1","LAT","Ter",2.85829605783025,2.64329773140073,"110km"
"A211_P1","LAT","Ter",0.204369016761987,0.456597120181137,"25km"
"A211_P1","LAT","Ter",0.301691493893764,0.918827637835929,"50km"
"A212_P1","LAT","Ter",1.18468362903999,2.30679588311771,"110km"
"A212_P1","LAT","Ter",0.384074705138048,1.16611377631276,"25km"
"A212_P1","LAT","Ter",0.554011776820926,1.55430344675561,"50km"
"A212_P2","LAT","Ter",0.78343875648673,1.1026010435985,"110km"
"A212_P2","LAT","Ter",0.247580421340585,0.664739824437631,"25km"
"A212_P2","LAT","Ter",0.403492531050111,0.849381559573245,"50km"
"A213_P1","LAT","Mar",4.17783125241597,0.733631441444826,"110km"
"A213_P1","LAT","Mar",3.42962192400405,1.45061657703813,"25km"
"A213_P1","LAT","Mar",3.70980346436594,1.05461373076002,"50km"
