"ID","binomial","species_studyid","range_source","Area_m2_overlap","Area_m2_range","Area_m2_ID"
"A1_P2","Sylvia cantillans","Sylvia cantillans_A1_P2","GBIF occurrence",254597058.350836,NA,254597058.350836
"A1_P2","Troglodytes troglodytes","Troglodytes troglodytes_A1_P2","BOTW",254597058.350836,18137186270094.8,254597058.350836
"A1_P2","Troglodytes troglodytes","Troglodytes troglodytes_A1_P2","GBIF occurrence",254597058.350836,28406291706153.8,254597058.350836
"A1_P2","Turdus merula","Turdus merula_A1_P2","BOTW",254597058.350836,14326332670582.2,254597058.350836
"A1_P2","Turdus merula","Turdus merula_A1_P2","GBIF occurrence",254597058.350836,22103391985859.3,254597058.350836
"A10_P1","Accipiter cooperii","Accipiter cooperii_A10_P1","BOTW",7715757003798.48,10487652985190.8,7933705804790.3
"A10_P1","Accipiter cooperii","Accipiter cooperii_A10_P1","GBIF occurrence",7925611291183.78,14766608229637.3,7933705804790.3
"A10_P1","Accipiter striatus","Accipiter striatus_A10_P1","BOTW",7761836336551.95,21636790050825.8,7933705804790.3
"A10_P1","Accipiter striatus","Accipiter striatus_A10_P1","GBIF occurrence",7925611291183.78,29066392875132.3,7933705804790.3
"A10_P1","Actitis macularius","Actitis macularius_A10_P1","IUCN",7760976848176.91,34170167863421.1,7933705804790.3
"A10_P1","Actitis macularius","Actitis macularius_A10_P1","BOTW",7760977259344.61,34169893458551.2,7933705804790.3
"A10_P1","Actitis macularius","Actitis macularius_A10_P1","GBIF occurrence",7925611291183.78,37247569082840.5,7933705804790.3
"A10_P1","Aeronautes saxatalis","Aeronautes saxatalis_A10_P1","BOTW",2291507413105.77,4096268287501.67,7933705804790.3
"A10_P1","Aeronautes saxatalis","Aeronautes saxatalis_A10_P1","GBIF occurrence",4289066838976.44,7157166695567.58,7933705804790.3
"A10_P1","Agelaius phoeniceus","Agelaius phoeniceus_A10_P1","IUCN",7761975226151.51,14132463929797.9,7933705804790.3
"A10_P1","Agelaius phoeniceus","Agelaius phoeniceus_A10_P1","BOTW",7761975226077.2,14132462279438,7933705804790.3
"A10_P1","Agelaius phoeniceus","Agelaius phoeniceus_A10_P1","GBIF occurrence",7925611291183.77,18654321582508.8,7933705804790.3
"A10_P1","Agelaius tricolor","Agelaius tricolor_A10_P1","IUCN",111445561238.811,113509991230.174,7933705804790.3
"A10_P1","Agelaius tricolor","Agelaius tricolor_A10_P1","BOTW",111445211134.215,113509641174.633,7933705804790.3
"A10_P1","Agelaius tricolor","Agelaius tricolor_A10_P1","GBIF occurrence",1323911520964.53,1516568672475.1,7933705804790.3
"A10_P1","Peucaea aestivalis","Peucaea aestivalis_A10_P1","BOTW",758054448531.659,761850698651.636,7933705804790.3
"A10_P1","Peucaea aestivalis","Peucaea aestivalis_A10_P1","GBIF occurrence",2485932490500.76,2688063625991.22,7933705804790.3
"A10_P1","Peucaea cassinii","Peucaea cassinii_A10_P1","BOTW",1368410421428.19,2273142061850.52,7933705804790.3
"A10_P1","Peucaea cassinii","Peucaea cassinii_A10_P1","GBIF occurrence",4033312387429.05,5585177489854.81,7933705804790.3
"A10_P1","Aimophila ruficeps","Aimophila ruficeps_A10_P1","BOTW",639745391159.662,1184786969392.21,7933705804790.3
"A10_P1","Aimophila ruficeps","Aimophila ruficeps_A10_P1","GBIF occurrence",3038822580040.64,4738350529341.23,7933705804790.3
"A10_P1","Aix sponsa","Aix sponsa_A10_P1","IUCN",6186409651068.44,7693830381906.64,7933705804790.3
"A10_P1","Aix sponsa","Aix sponsa_A10_P1","BOTW",6186418838056.33,7693839609485.78,7933705804790.3
"A10_P1","Aix sponsa","Aix sponsa_A10_P1","GBIF occurrence",7925611291183.78,19019514533951.7,7933705804790.3
"A10_P1","Alectoris chukar","Alectoris chukar_A10_P1","BOTW",956060758991.055,11388432946603.8,7933705804790.3
"A10_P1","Alectoris chukar","Alectoris chukar_A10_P1","GBIF occurrence",3826001437481.67,17710881834974.8,7933705804790.3
"A10_P1","Centronyx henslowii","Centronyx henslowii_A10_P1","GBIF occurrence",4662048181546.7,5603274738694.7,7933705804790.3
"A10_P1","Ammospiza leconteii","Ammospiza leconteii_A10_P1","IUCN",3144914690163.54,5593741535892.28,7933705804790.3
"A10_P1","Ammospiza leconteii","Ammospiza leconteii_A10_P1","BOTW",3144914685371.28,5593741342690.01,7933705804790.3
"A10_P1","Ammospiza leconteii","Ammospiza leconteii_A10_P1","GBIF occurrence",6592402856843.22,13166559327962.5,7933705804790.3
"A10_P1","Ammospiza maritima","Ammospiza maritima_A10_P1","IUCN",196428471639.103,211097019080.315,7933705804790.3
"A10_P1","Ammospiza maritima","Ammospiza maritima_A10_P1","BOTW",196428460436.679,211096750132.855,7933705804790.3
"A10_P1","Ammospiza maritima","Ammospiza maritima_A10_P1","GBIF occurrence",1464755365721.37,1835292982402.33,7933705804790.3
"A10_P1","Ammodramus savannarum","Ammodramus savannarum_A10_P1","BOTW",5293616595448.66,7888248743078.4,7933705804790.3
"A10_P1","Ammodramus savannarum","Ammodramus savannarum_A10_P1","GBIF occurrence",7923638078714.01,12934663573409.6,7933705804790.3
"A10_P1","Artemisiospiza belli","Artemisiospiza belli_A10_P1","BOTW",207659786221.725,304829611929.875,7933705804790.3
"A10_P1","Artemisiospiza belli","Artemisiospiza belli_A10_P1","GBIF occurrence",1987677486785.48,2578471283584.02,7933705804790.3
"A10_P1","Amphispiza bilineata","Amphispiza bilineata_A10_P1","BOTW",1394547969128.4,2559844850357.35,7933705804790.3
"A10_P1","Amphispiza bilineata","Amphispiza bilineata_A10_P1","GBIF occurrence",5336366054129.32,7732937664708.61,7933705804790.3
