Species,Original,Genus,Family,Order,Dispersal_syndrome,Growth_form,Seed_weight_(mg),Seed_release_height_(m),Seed_terminal_velocity_(m/s),Maximum_recorded_dispersal_distance_(m),99th_percentile_dispersal_distance_(m),90th_percentile_dispersal_distance_(m),Mean_dispersal_distance_(m),Mode_dispersal_distance_(m),Median_dispersal_distance_(m),Maximum_dispersal_distance_(m),Calculated_maximum_dispersal_distance_(m),Maximum_dispersal_distance_analysis_(m),Data_type,Region,Reference
Solidago gigantea,,Solidago,Asteraceae,Asterales,wind (special),herb,0.22,2.5,0.46,,135.61,,,,4.24,135.61,,135.61,model,temperate,Soons & Ozinga 2005
Solidago virgaurea,,Solidago,Asteraceae,Asterales,wind (special),herb,0.49,1.25,0.71,,5.6,,,,0.58,5.6,,5.6,model,temperate,Soons & Ozinga 2005
Sonchus arvensis,,Sonchus,Asteraceae,Asterales,wind (special),herb,0.49,1.5,0.29,1100,,,,,,1100,,1100,field,temperate,Feekes 1936 in Cain et al. 1998
Sonchus asper,,Sonchus,Asteraceae,Asterales,wind (special),herb,0.28,1.5,0.34,,6.12,,,,0.58,6.12,,6.12,model,temperate,Soons & Ozinga 2005
Sonchus oleraceus,,Sonchus,Asteraceae,Asterales,wind (special),herb,0.3,1,0.33,,13.28,,,,1.08,13.28,,13.28,model,temperate,Soons & Ozinga 2005
Spergula morisonii,,Spergula,Caryophyllaceae,Caryophyllales,wind (special),herb,,0.25,1.22,,0.37,,,,0.07,0.37,,0.37,model,temperate,Soons & Ozinga 2005
Spergularia marina,,Spergularia,Caryophyllaceae,Caryophyllales,wind (special),herb,0.05,0.2,1.37,340,,,,,,340,,340,field,temperate,Feekes 1936 in Cain et al. 1998
Spergularia media,,Spergularia,Caryophyllaceae,Caryophyllales,wind (special),herb,0.1,0.4,1.44,130,,,,,,130,,130,field,temperate,Feekes 1936 in Cain et al. 1998
Spergularia rubra,,Spergularia,Caryophyllaceae,Caryophyllales,wind (special),herb,0.07,0.25,1.13,,0.15,,,,0.03,0.15,,0.15,model,temperate,Soons & Ozinga 2005
Stellaria graminea,,Stellaria,Caryophyllaceae,Caryophyllales,wind (none),herb,0.27,0.65,2.77,,0.25,,,,0.04,0.25,,0.25,model,temperate,Soons & Ozinga 2005
Stellaria media,,Stellaria,Caryophyllaceae,Caryophyllales,wind (none),herb,0.4,0.4,2.96,,0.32,,,,0.05,0.32,,0.32,model,temperate,Soons & Ozinga 2005
Suaeda maritima,,Suaeda,Amaranthaceae,Caryophyllales,wind (none),herb,,0.35,3.24,380,,,0.1,,,380,,380,field,temperate,Feekes 1936 in Cain et al. 1998
Tanacetum vulgare,,Tanacetum,Asteraceae,Asterales,wind (none),herb,0.2,1.2,,,2.4,,,,0.36,2.4,,2.4,model,temperate,Soons & Ozinga 2005
Taraxacum officinale,,Taraxacum,Asteraceae,Asterales,wind (special),herb,0.7,,0.357,620,,,,,,620,,620,field,temperate,Feekes 1936 in Cain et al. 1998
Taraxacum erythrospermum,Taraxacum laevigatum,Taraxacum,Asteraceae,Asterales,wind (special),herb,,0.3,,,2.01,,,,0.19,2.01,,2.01,model,temperate,Soons & Ozinga 2005
Tephroseris palustris,,Tephroseris,Asteraceae,Asterales,wind (special),herb,,,,,75.49,,,,2.2,75.49,,75.49,model,temperate,Soons & Ozinga 2005
Tragopogon pratensis,,Tragopogon,Asteraceae,Asterales,wind (special),herb,3.5,0.6,0.72,1900,,,,,,1900,,1900,field,temperate,Feekes 1936 in Cain et al. 1998
Triglochin maritima,,Triglochin,Juncaginaceae,Alismatales,wind (none),herb,0.69,0.75,2.16,,0.34,,,,0.07,0.34,,0.34,model,temperate,Soons & Ozinga 2005
Tripleurospermum maritimum,,Tripleurospermum,Asteraceae,Asterales,wind (none),herb,0.29,,,,0.31,,,,0.05,0.31,,0.31,model,temperate,Soons & Ozinga 2005
Tripolium pannonicum subsp. tripolium,Aster tripolium,Tripolium,Asteraceae,Asterales,wind (special),herb,2.03,0.6,0.63,1500,,,,,,1500,,1500,field,temperate,Feekes 1936 in Cain et al. 1998
Typha latifolia,,Typha,Typhaceae,Poales,wind (special),herb,0.1,2,0.11,5400,,,,,,5400,,5400,field,temperate,Feekes 1936 in Cain et al. 1998
Typha angustifolia,,Typha,Typhaceae,Poales,wind (special),herb,0.16,2,0.14,,2193.84,,,,11.31,2193.84,,2193.84,model,temperate,Soons & Ozinga 2005
Ulmus procera,,Ulmus,Ulmaceae,Rosales,wind (special),tree,,,,330,,,,,,330,,330,field,temperate,Feekes 1936 in Cain et al. 1998
Valeriana dioica,,Valeriana,Caprifoliaceae,Dipsacales,wind (special),herb,0.55,0.3,0.98,,0.69,,,,0.11,0.69,,0.69,model,temperate,Soons & Ozinga 2005
Valeriana officinalis,,Valeriana,Caprifoliaceae,Dipsacales,wind (special),herb,1.1,1,0.56,,4.85,,,,0.59,4.85,,4.85,model,temperate,Soons & Ozinga 2005
Verbena officinalis,,Verbena,Verbenaceae,Lamiales,wind (none),herb,0.33,1,,,0.44,,,,0.08,0.44,,0.44,model,temperate,Soons & Ozinga 2005
Beilschmiedia tawa,,Beilschmiedia,Lauraceae,Laurales,animal,tree,1250,,,,1000,,,,95,1000,,1000,model,temperate,Wotton & Kelly 2012
Neopanax arboreus,Pseudopanax arboreus,Neopanax,Araliaceae,Apiales,animal,tree,9.09,,,,1000,,,,61,1000,,1000,model,temperate,Wotton & Kelly 2012
Vitex lucens,,Vitex,Lamiaceae,Lamiales,animal,tree,676.31,,,,1000,,,,98,1000,,1000,model,temperate,Wotton & Kelly 2012
Alseis blackiana,,Alseis,Rubiaceae,Gentianales,wind (special),tree,0.18,,0.65,,,,377,,,,2138.5524,2138.5524,model,tropics,Augspurger 1986
Aspidosperma desmanthum,Aspidosperma cruentum,Aspidosperma,Apocynaceae,Gentianales,wind (special),tree,871,,0.95,,,,258,,,,1472.4271,1472.4271,model,tropics,Augspurger 1986
Astrocaryum standleyanum,,Astrocaryum,Arecaceae,Arecales,animal,tree,7589,,,892,,,,,131,892,,892,field,tropics,Jansen et al. 2012
Astronium graveolans,,Astronium,Anacardiaceae,Sapindales,wind (special),tree,47.5,,1.33,,,,184,,,,1055.7978,1055.7978,model,tropics,Augspurger 1986
Cavanillesia platanifolia,,Cavanillesia,Malvaceae,Malvales,wind (special),tree,3055,,1.4,,,,224,,,,1281.28,1281.28,model,tropics,Augspurger 1986
Cedrela odorata,,Cedrela,Meliaceae,Sapindales,wind (special),tree,14.1,,0.6,,,,410,,,,2322.6262,2322.6262,model,tropics,Augspurger 1986
Ceiba pentandra,,Ceiba,Malvaceae,Malvales,wind (special),tree,74.1,,1,,,,314,,,,1786.4003,1786.4003,model,tropics,Augspurger 1986
Cespedesia macrophylla,,Cespedesia,Ochnaceae,Malpighiales,wind (special),tree,0.13,,0.32,,,,775,,,,4345.8314,4345.8314,model,tropics,Augspurger 1986
Cochlospermum vitifolium,,Cochlospermum,Cochlospermaceae,Malvales,wind (special),tree,24.8,,1.09,,,,96,,,,556.615,556.615,model,tropics,Augspurger 1986
Cordia alliodora,,Cordia,Boraginaceae,UnplacedEuasteridI,wind (special),tree,6.25,,1.24,,,,140,,,,806.8448,806.8448,model,tropics,Augspurger 1986
Couratari guianensis,Couratari panamensis,Couratari,Lecythidaceae,Ericales,wind (special),tree,236,,1.07,,,,229,,,,1309.4174,1309.4174,model,tropics,Augspurger 1986
Dalbergia retusa,,Dalbergia,Fabaceae,Fabales,wind (special),tree,248,,1.5,,,,117,,,,676.2307,676.2307,model,tropics,Augspurger 1986
Dipteryx oleifera,Dipteryx panamensis,Dipteryx,Fabaceae,Fabales,animal,tree,7542,,,100,,,75,,,100,,100,field,tropics,Morrison in DeSteven & Putz 1985 in Cain et al. 1998
Jacaranda copaia,,Jacaranda,Bignoniaceae,Lamiales,wind (special),tree,6.5,,0.39,,,,538,,,,3034.5183,3034.5183,model,tropics,Augspurger 1986
Lafoensia punicifolia,,Lafoensia,Lythraceae,Myrtales,wind (special),tree,38,,1.09,,,,192,,,,1100.9521,1100.9521,model,tropics,Augspurger 1986
Lonchocarpus heptaphyllus,Lonchocarpus pentaphyllus,Lonchocarpus,Fabaceae,Fabales,wind (special),tree,143,,1.32,,,,185,,,,1061.4437,1061.4437,model,tropics,Augspurger 1986
Lonchocarpus velutinus,,Lonchocarpus,Fabaceae,Fabales,wind (special),tree,127,,1.03,,,,239,,,,1365.663,1365.663,model,tropics,Augspurger 1986
Luehea seemannii,,Luehea,Malvaceae,Malvales,wind (special),tree,2.1,,0.7,,,,350,,,,1987.7555,1987.7555,model,tropics,Augspurger 1986
Luehea speciosa,,Luehea,Malvaceae,Malvales,wind (special),tree,4.95,,0.97,,,,181,,,,1038.8569,1038.8569,model,tropics,Augspurger 1986
Macrocnemum roseum,Macrocnenum glabrescens,Macrocnemum,Rubiaceae,Gentianales,wind (special),tree,0.02,,0.52,,,,340,,,,1931.8582,1931.8582,model,tropics,Augspurger 1986
Myroxylon balsamum,,Myroxylon,Fabaceae,Fabales,wind (special),tree,749,,1.55,,,,159,,,,914.4812,914.4812,model,tropics,Augspurger 1986
Ochroma pyramidale,,Ochroma,Malvaceae,Malvales,wind (special),tree,14.8,,0.61,,,,228,,,,1303.7907,1303.7907,model,tropics,Augspurger 1986
Pachira quinata,Bombacopsis quinata,Pachira,Malvaceae,Malvales,wind (special),tree,32.9,,0.76,,,,324,,,,1842.3676,1842.3676,model,tropics,Augspurger 1986
Pachira sessilis,Bombacopsis sessilis,Pachira,Malvaceae,Malvales,wind (special),tree,462,,1.98,,,,88,,,,510.9412,510.9412,model,tropics,Augspurger 1986
Platymiscium pinnatum,,Platymiscium,Fabaceae,Fabales,wind (special),tree,462,,1.28,,,,191,,,,1095.3094,1095.3094,model,tropics,Augspurger 1986
Platypodium elegans,,Platypodium,Fabaceae,Fabales,wind (special),tree,2000,,1.782,,,,137,,,,789.8289,789.8289,model,tropics,Augspurger 1986
Pseudobombax septenatum,,Pseudobombax,Malvaceae,Malvales,wind (special),tree,86.9,,1.26,,,,139,,,,801.1735,801.1735,model,tropics,Augspurger 1986
Pterocarpus rohrii,,Pterocarpus,Fabaceae,Fabales,wind (special),tree,337,,0.91,,,,268,,,,1528.5676,1528.5676,model,tropics,Augspurger 1986
Tabebuia guayacan,,Tabebuia,Bignoniaceae,Lamiales,wind (special),tree,35.7,,1.1,,,,223,,,,1275.6513,1275.6513,model,tropics,Augspurger 1986
Tabebuia rosea,,Tabebuia,Bignoniaceae,Lamiales,wind (special),tree,35.5,,0.86,,,,246,,,,1405.0124,1405.0124,model,tropics,Augspurger 1986
Tachigali versicolor,,Tachigali,Fabaceae,Fabales,wind (special),tree,1421,,1.73,,,,141,,,,812.5154,812.5154,model,tropics,Augspurger 1986
Terminalia amazonia,,Terminalia,Combretaceae,Myrtales,wind (special),tree,4.07,,0.73,,,,335,,,,1903.8998,1903.8998,model,tropics,Augspurger 1986
Terminalia oblonga,,Terminalia,Combretaceae,Myrtales,wind (special),tree,54.3,,0.89,,,,276,,,,1573.4558,1573.4558,model,tropics,Augspurger 1986
Trichospermum mexicanum,,Trichospermum,Malvaceae,Malvales,wind (special),tree,2.96,,1.19,,,,147,,,,846.5259,846.5259,model,tropics,Augspurger 1986
Triplaris cumingiana,,Triplaris,Polygonaceae,Caryophyllales,wind (special),tree,76.7,,0.83,,,,211,,,,1208.0751,1208.0751,model,tropics,Augspurger 1986
Vatairea erythrocarpa,,Vatairea,Fabaceae,Fabales,wind (special),tree,1181,,1.39,,,,176,,,,1010.612,1010.612,model,tropics,Augspurger 1986
Virola surinamensis,,Virola,Myristicaceae,Magnoliales,animal,tree,1838,,,291,,,144,,,291,,291,model,tropics,Kays et al. 2011
Attalea phalerata,,Attalea,Arecaceae,Arecales,animal,tree,,,,80,30,,,,,80,,80,field,tropics,Choo et al. 2012
Parkia sp.,,Parkia,Fabaceae,Fabales,animal,tree,493.62,,,675,,,,,,675,,675,field,tropics,Heymann et al. 2012
Virola calophylla,,Virola,Myristicaceae,Magnoliales,animal,tree,1400,,,1200,,,258,,184,1200,,1200,field,tropics,Russo et al. 2006
Mercurialis annua,,Mercurialis,Euphorbiaceae,Malpighiales,ant,herb,1.7,0.5,3.19,14,,,,3.4,,14,,14,field,temperate,Lisci & Pacini 1997 in Ness et al. 2004
Salsola kali,Salsola iberica,Salsola,Amaranthaceae,Caryophyllales,wind (special),shrub,,,,4069,,,3050,,,4069,,4069,field,temperate,Stallings et al. 1995
Carica papaya,,Carica,Caricaceae,Brassicales,animal,tree,23,,,3289,,,,,917,3289,,3289,model,tropics,Campoz-Arceiz et al. 2012
Dillenia indica,,Dillenia,Dilleniaceae,Dilleniales,animal,tree,21.65,,,3206,,,,,1151,3206,,3206,model,tropics,Campoz-Arceiz et al. 2012
Dimocarpus longan,,Dimocarpus,Sapindaceae,Sapindales,animal,tree,600,,,2951,,,,,1287,2951,,2951,model,tropics,Campoz-Arceiz et al. 2012
Leucospermum sp.,,Leucospermum,Proteaceae,Proteales,ant,shrub,100,,,17,,,2.5,,,17,,17,field,tropics,Bond & Slingsby 1983 in Hughes et al. 1994
Mimetes cucullatus,,Mimetes,Proteaceae,Proteales,ant,shrub,37.03,,,0.5,,,,,,0.5,,0.5,field,tropics,Bond & Slingsby 1984
Protea repens,,Protea,Proteaceae,Proteales,wind (special),shrub,67.9,,,31,,,,,,31,,31,field,tropics,Bond 1988 in Bullock & Clarke 2000
Coronilla minima,,Coronilla,Fabaceae,Fabales,ant,shrub,10,,,1.5,,,0.15,,,1.5,,1.5,field,temperate,Arnan et al. 2011
Dorycnium pentaphyllum,,Dorycnium,Fabaceae,Fabales,ant,shrub,3.2,0.23,4.4,10.5,,,0.78,,,10.5,,10.5,field,temperate,Arnan et al. 2011
Euphorbia characias,,Euphorbia,Euphorbiaceae,Malpighiales,ant,shrub,,,,9.4,,,2.09,,,9.4,,9.4,field,temperate,G—mez & Espadaler 1998
Geranium purpureum,,Geranium,Geraniaceae,Geraniales,ballistic,herb,1.87,0.4,,1.6,,,,,0.44,1.6,,1.6,field,temperate,Herrera 1991
Quercus ilex,,Quercus,Fagaceae,Fagales,animal,tree,2311,,,545.5,,149.6,68.6,,49.15,545.5,,545.5,field,temperate,Pons & Pausas 2007
Quercus suber,,Quercus,Fagaceae,Fagales,animal,tree,3469,,,545.5,,149.6,68.6,,49.15,545.5,,545.5,field,temperate,Pons & Pausas 2007
Rhamnus alaternus,,Rhamnus,Rhamnaceae,Rosales,ant,tree,90.29,,,25,,,0.01,1,,25,,25,field,temperate,G—mez et al. 2003
Aegopodium podagraria,,Aegopodium,Apiaceae,Apiales,wind (none),herb,2.23,1.2,4.32,1,,,,,0.58,1,,1,model,temperate,Jongejans & Telenius 2001
Aethusa cynapium,,Aethusa,Apiaceae,Apiales,wind (none),herb,0.81,,2.48,2,,,,,0.72,2,,2,model,temperate,Jongejans & Telenius 2001
Agrimonia eupatoria,,Agrimonia,Rosaceae,Rosales,animal,herb,18.1,1,4.07,932,,,,,,932,,932,model,temperate,Kivieniemi 1996 in Kiviniemi & Telenius 1998
Angelica sylvestris,,Angelica,Apiaceae,Apiales,wind (special),herb,1.93,2.1,1.53,3.8,,,,,2.29,3.8,,3.8,model,temperate,Jongejans & Telenius 2001
Anthriscus sylvestris,,Anthriscus,Apiaceae,Apiales,animal,herb,5.18,1.58,,120,,,,,,120,,120,model,temperate,Kivieniemi & Eriksson (unpubl.) in Kiviniemi & Telenius 1998
Calestania palustris,Peucedanum palustre,Calestania,Apiaceae,Apiales,wind (special),herb,1.99,1.5,1.84,2.3,,,,,1.31,2.3,,2.3,model,temperate,Jongejans & Telenius 2001
Carum carvi,,Carum,Apiaceae,Apiales,animal,herb,2.37,0.8,,120,,,,,,120,,120,model,temperate,Kivieniemi & Eriksson (unpubl.) in Kiviniemi & Telenius 1998
Daucus carota,,Daucus,Apiaceae,Apiales,animal,herb,1,1,2.21,17,,,,,,17,,17,model,temperate,Kiviniemi & Telenius 1998
Filipendula vulgaris,,Filipendula,Rosaceae,Rosales,animal,herb,0.59,0.71,2.07,240,,,,,,240,,240,model,temperate,Kivieniemi & Eriksson (unpubl.) in Kiviniemi & Telenius 1998
Geum rivale,,Geum,Rosaceae,Rosales,animal,herb,1.16,1.02,,1242,,,,,,1242,,1242,model,temperate,Kivieniemi 1996 in Kiviniemi & Telenius 1998
Heracleum sphondylium,,Heracleum,Apiaceae,Apiales,wind (special),herb,3.47,1.5,1.51,6.2,,,,,3.12,6.2,,6.2,model,temperate,Jongejans & Telenius 2001
Laserpitium latifolium,,Laserpitium,Apiaceae,Apiales,wind (special),herb,6.36,1.5,2.29,2.8,,,,,1.9,2.8,,2.8,model,temperate,Jongejans & Telenius 2001
Myrrhis odorata,,Myrrhis,Apiaceae,Apiales,wind (none),herb,52.47,,4.94,2,,,,,0.65,2,,2,model,temperate,Jongejans & Telenius 2001
Oxalis acetosella,,Oxalis,Oxalidaceae,Oxalidales,ballistic,herb,0.94,0.16,,4.52,,,2.04,,2.06,4.52,,4.52,field,temperate,Berg 2000
Pastinaca sativa,,Pastinaca,Apiaceae,Apiales,wind (special),herb,3.12,1,2.06,13.9,,,,,3.05,13.9,,13.9,model,temperate,Jongejans & Telenius 2001
Polygala vulgaris,,Polygala,Polygalaceae,Fabales,animal,herb,1.96,0.2,,240,,,,,,240,,240,model,temperate,Kivieniemi & Eriksson (unpubl.) in Kiviniemi & Telenius 1998
Potentilla reptans,,Potentilla,Rosaceae,Rosales,animal,herb,0.33,0.2,2.72,7,,,,,,7,,7,model,temperate,Kiviniemi & Telenius 1998
Ranunculus acris,,Ranunculus,Ranunculaceae,Ranunculales,animal,herb,1.38,1.24,3.19,300,,,,,,300,,300,model,temperate,Kivieniemi & Eriksson (unpubl.) in Kiviniemi & Telenius 1998
Sanicula elata,Sanicula europaea,Sanicula,Apiaceae,Apiales,animal,herb,2.65,0.45,,15,,,,,,15,,15,model,temperate,Kiviniemi & Telenius 1998
Selinum carvifolia,,Selinum,Apiaceae,Apiales,wind (special),herb,1.29,0.9,2.1,2,,,,,0.79,2,,2,model,temperate,Jongejans & Telenius 2001
Seseli libanotis,,Seseli,Apiaceae,Apiales,animal,herb,0.96,1.2,,3,,,,,,3,,3,model,temperate,Kiviniemi & Telenius 1998
Torilis japonica,,Torilis,Apiaceae,Apiales,animal,herb,1.24,1.2,,15,,,,,,15,,15,model,temperate,Kiviniemi & Telenius 1998
Triglochin palustris,,Triglochin,Juncaginaceae,Alismatales,animal,herb,0.88,0.4,1.76,1242,,,,,,1242,,1242,model,temperate,Kivieniemi 1996 in Kiviniemi & Telenius 1998
Abies alba,,Abies,Pinaceae,Pinales,wind (special),tree,68.7,50,,7000,,,,,,7000,,7000,field,temperate,Bouget & Davy de Virville 1926 in MŸller-Schneider 1983 in Vittoz & Engler 2007
Acer pseudoplatanus,,Acer,Sapindaceae,Sapindales,wind (special),tree,97,25,1.04,5000,,,,,,5000,,5000,field,temperate,Braun-Blanquet 1913 in MŸller-Schneider 1986 in Vittoz & Engler 2007
Achillea erba-rotta subsp. moschata,,Achillea,Asteraceae,Asterales,wind (none),herb,0.23,,,1,,,,,,1,,1,model,temperate,Stšcklin & BŠumler 1996
Achillea nana,,Achillea,Asteraceae,Asterales,wind (none),herb,,,,4,,,,,,4,,4,model,temperate,Stšcklin & BŠumler 1996
Adenostyles leucophylla,,Adenostyles,Asteraceae,Asterales,wind (special),herb,,,,85,,,,,,85,,85,model,temperate,Stšcklin & BŠumler 1996
Agrostis rupestris,,Agrostis,Poaceae,Poales,wind (special),herb,,0.1,,1,,,,,,1,,1,model,temperate,Stšcklin & BŠumler 1996
Allium ursinum,,Allium,Amaryllidaceae,Asparagales,ant,herb,5.6,0.5,,4.61,,,,,,4.61,,4.61,field,temperate,MŸller-Schneider 1971 in Vittoz & Engler 2007
Alnus viridis,,Alnus,Betulaceae,Fagales,wind (special),tree,25.6,4,,70,,,,,,70,,70,model,temperate,Stšcklin & BŠumler 1996
Arabis alpina,,Arabis,Brassicaceae,Brassicales,wind (none),herb,0.3,,,1,,,,,,1,,1,model,temperate,Stšcklin & BŠumler 1996
Bromus tectorum,,Bromus,Poaceae,Poales,animal,herb,3.3,0.45,2.44,6300,,,,,,6300,,6300,field,temperate,Mack 1986 in Malcolm et al. 2002 in Vittoz & Engler 2007
Cardamine amara ,,Cardamine,Brassicaceae,Brassicales,ballistic,herb,,0.6,,1.4,,,,,,1.4,,1.4,field,temperate,Schneider 1935 in Vittoz & Engler 2007
Cardamine impatiens ,,Cardamine,Brassicaceae,Brassicales,ballistic,herb,0.19,0.85,,2,,,,,,2,,2,field,temperate,Schneider 1935 in Vittoz & Engler 2007
Cardamine pratensis ,,Cardamine,Brassicaceae,Brassicales,ballistic,herb,0.6,0.6,2.98,2.4,,,,,,2.4,,2.4,field,temperate,Schneider 1935 in Vittoz & Engler 2007
Cardamine resedifolia,,Cardamine,Brassicaceae,Brassicales,ballistic,herb,,0.15,,1.04,,,,,,1.04,,1.04,field,temperate,Schneider 1935 in Vittoz & Engler 2007
Carex frigida,,Carex,Cyperaceae,Poales,wind (special),herb,0.31,0.4,,1,,,,,,1,,1,model,temperate,Stšcklin & BŠumler 1996
Cerastium arvense,,Cerastium,Caryophyllaceae,Caryophyllales,wind (none),herb,0.21,0.3,2.48,1,,,,,,1,,1,model,temperate,Stšcklin & BŠumler 1996
Cerastium pedunculatum,,Cerastium,Caryophyllaceae,Caryophyllales,wind (none),herb,0.27,,,1,,,,,,1,,1,model,temperate,Stšcklin & BŠumler 1996
Chelidonium majus,,Chelidonium,Papaveraceae,Ranunculales,ant,herb,0.74,0.7,,80,,,,,,80,,80,field,temperate,Senander 1906 in Bonn & Poschold 1998 in Vittoz & Engler 2007
Cirsium spinosissimum,,Cirsium,Asteraceae,Asterales,wind (special),herb,,0.6,,30,,,,,,30,,30,model,temperate,Stšcklin & BŠumler 1996
Clandestina clandestina,Lathraea clandestina,Clandestina,Orobanchaceae,Lamiales,ballistic,herb,,,,4,,,,,,4,,4,field,temperate,Guttenberg 1926 in MŸller-Schneider 1983 in Vittoz & Engler 2007
Corylus avellana,,Corylus,Betulaceae,Fagales,animal,shrub,1192.3,6,,15000,,,,,,15000,,15000,field,temperate,Mattes 1982 in Vittoz & Engler 2007
Daphne striata,,Daphne,Thymelaeaceae,Malvales,ant,herb,,0.35,,6.38,,,,,,6.38,,6.38,field,temperate,MŸller-Schneider 1963 in Vittoz & Engler 2007
Epilobium fleischeri,,Epilobium,Onagraceae,Myrtales,wind (special),herb,0.13,0.4,,50,,,,,,50,,50,model,temperate,Stšcklin & BŠumler 1996
Eranthis hyemalis ,,Eranthis,Ranunculaceae,Ranunculales,wind (none),herb,4.52,0.15,,1.23,,,,,0.32,1.23,,1.23,field,temperate,Emig et al. 1999 in Vittoz & Engler 2007
Erigeron acer,,Erica,Asteraceae,Ericales,wind (special),herb,,0.6,0.35,75,,,,,,75,,75,model,temperate,Stšcklin & BŠumler 1996
Erigeron acris subsp. angulosus,Erigeron angulosus,Erigeron,Asteraceae,Asterales,wind (special),herb,,0.6,0.35,75,,,,,,75,,75,model,temperate,Stšcklin & BŠumler 1996
Fagus sylvatica,,Fagus,Fagaceae,Fagales,animal,tree,249,40,,32,,,,,,32,,32,field,temperate,MŸller-Schneider 1949 in Vittoz & Engler 2007
Fraxinus excelsior,,Fraxinus,Oleaceae,Lamiales,wind (special),tree,69.4,40,2.17,725,,,,,,725,,725,field,temperate,Geiger 1960 in MŸlller-Schneider 1986 in Vittoz & Engler 2007
Geranium rotundifolium,,Geranium,Geraniaceae,Geraniales,ballistic,herb,1.87,0.3,,1.8,,,,,,1.8,,1.8,field,temperate,MŸller-Schneider 1933 in MŸller-Schneider 1983 in Vittoz & Engler 2007
Geranium sylvaticum,,Geranium,Geraniaceae,Geraniales,ballistic,herb,5.1,0.73,2.49,2.7,,,,,,2.7,,2.7,field,temperate,MŸller-Schneider 1983 in Vittoz & Engler 2007
Geranium robertianum,,Geranium,Geraniaceae,Geraniales,ballistic,herb,1.5,0.4,3.07,6,,,,,,6,,6,field,temperate,Ridley 1930 in MŸller-Schneider 1983 in Vittoz & Engler 2007
Geum reptans,,Geum,Rosaceae,Rosales,wind (special),herb,,0.15,,4,,,,,,4,,4,model,temperate,Stšcklin & BŠumler 1996
Helianthus annuus,,Helianthus,Asteraceae,Asterales,animal,herb,42.8,3,,,,,,20,,,118.9087,118.9087,field,temperate,MŸller-Schneider 1949 in Vittoz & Engler 2007
Hieracium murorum aggr.,,Hieracium,Asteraceae,Asterales,wind (special),herb,,0.6,,10,,,,,,10,,10,model,temperate,Stšcklin & BŠumler 1996
Impatiens parviflora,,Impatiens,Balsaminaceae,Ericales,ballistic,herb,8,1.5,,3.4,,,,,,3.4,,3.4,field,temperate,Schneider 1935 in Vittoz & Engler 2007
Juglans regia,,Juglans,Juglandaceae,Fagales,animal,tree,11490,25,,200,,,,,,200,,200,field,temperate,MŸller-Schneider 1983 in Vittoz & Engler 2007
Lathyrus vernus,,Lathyrus,Fabaceae,Fabales,ballistic,herb,15,0.47,4.9,1.5,,,,,,1.5,,1.5,field,temperate,MŸller-Schneider 1986 in Vittoz & Engler 2007
Linaria alpina,,Linaria,Plantaginaceae,Lamiales,wind (special),herb,0.25,0.1,,12,,,,,,12,,12,model,temperate,Stšcklin & BŠumler 1996
Melica nutans,,Melica,Poaceae,Poales,ant,herb,2.28,1.07,1.87,70,,,,,,70,,70,field,temperate,Senander 1906 in Bonn & Poschold 1998 in Vittoz & Engler 2007
Mercurialis perennis,,Mercurialis,Euphorbiaceae,Malpighiales,ballistic,herb,5.82,0.3,,4,,,,,,4,,4,field,temperate,Ridley 1930 in MŸller-Schneider 1983 in Vittoz & Engler 2007
Myricaria germanica,,Myricaria,Tamaricaceae,Caryophyllales,wind (special),shrub,0.06,2,,100,,,,,,100,,100,model,temperate,Stšcklin & BŠumler 1996
Oxyria digyna,,Oxyria,Polygonaceae,Caryophyllales,wind (special),herb,0.91,0.15,3.02,1,,,,,,1,,1,model,temperate,Stšcklin & BŠumler 1996
Picea abies,,Picea,Pinaceae,Pinales,wind (special),tree,7,50,,1500,,,,,,1500,,1500,field,temperate,Braun-Blanquet 1913 in MŸller-Schneider 1986 in Vittoz & Engler 2007
Pinus sylvestris,,Pinus,Pinaceae,Pinales,wind (special),tree,6,40,,2000,,,,,,2000,,2000,field,temperate,Firbas 1935 in MŸller-Schneider 1983 in Vittoz & Engler 2007
Pinus cembra,,Pinus,Pinaceae,Pinales,animal,tree,268,15,,12000,,,,,,12000,,12000,field,temperate,Sutter & Ammann 1953 in MŸller-Schneider 1986 in Vittoz & Engler 2007
Poa alpina,,Poa,Poaceae,Poales,wind (none),herb,0.35,0.5,1.78,1,,,,,,1,,1,model,temperate,Stšcklin & BŠumler 1996
Poa nemoralis,,Poa,Poaceae,Poales,wind (none),herb,0.2,1.06,1.6,50,,,,,,50,,50,model,temperate,Stšcklin & BŠumler 1996
Pulsatilla sp.,,Pulsatilla,Ranunculaceae,Ranunculales,wind (special),herb,,,,80,,,,,,80,,80,field,temperate,Hegi 1906-1938 in MŸller-Schneider 1986 in Vittoz & Engler 2007
Rhododendron ferrugineum,,Rhododendron,Ericaceae,Ericales,wind (none),shrub,0.03,1.5,,25,,,,,,25,,25,model,temperate,Stšcklin & BŠumler 1996
Rubus idaeus,,Rubus,Rosaceae,Rosales,animal,herb,1.9,2,3.6,900,,,,,,900,,900,field,temperate,MŸller-Schneider 1983 in Vittoz & Engler 2007
Rumex scutatus,,Rumex,Polygonaceae,Caryophyllales,wind (special),herb,1.22,0.4,,12,,,,,,12,,12,model,temperate,Stšcklin & BŠumler 1996
