Species,Original,Genus,Family,Order,Dispersal_syndrome,Growth_form,Seed_weight_(mg),Seed_release_height_(m),Seed_terminal_velocity_(m/s),Maximum_recorded_dispersal_distance_(m),99th_percentile_dispersal_distance_(m),90th_percentile_dispersal_distance_(m),Mean_dispersal_distance_(m),Mode_dispersal_distance_(m),Median_dispersal_distance_(m),Maximum_dispersal_distance_(m),Calculated_maximum_dispersal_distance_(m),Maximum_dispersal_distance_analysis_(m),Data_type,Region,Reference
Schmidtia pappophoroides,,Schmidtia,Poaceae,Poales,wind (special),herb,5.62,,1.45,7.59,,,,,,7.59,,7.59,model,tropics,Ernst et al. 1992
Setaria verticillata,,Setaria,Poaceae,Poales,wind (none),herb,0.8,0.6,2.44,3.28,,,,,,3.28,,3.28,model,tropics,Ernst et al. 1992
Tragus berteronianus,,Tragus,Poaceae,Poales,wind (none),herb,0.47,,1.34,2.24,,,,,,2.24,,2.24,model,tropics,Ernst et al. 1992
Urochloa mosambicensis,,Urochloa,Poaceae,Poales,wind (none),herb,1.56,,1.57,4.46,,,,,,4.46,,4.46,model,tropics,Ernst et al. 1992
Urochloa panicoides,,Urochloa,Poaceae,Poales,wind (none),herb,2.93,,2.22,3.16,,,,,,3.16,,3.16,model,tropics,Ernst et al. 1992
Bertholletia excelsa,,Bertholletia,Lecythidaceae,Ericales,animal,tree,6700,,,60,,,20.8,,,60,,60,field,tropics,Tuck Haugaasen 2012
Murraya paniculata,,Murraya,Rutaceae,Sapindales,ant,shrub,83.33,,,21,,,,,,21,,21,field,tropics,Pikart et al. 2011
Swietenia macrophylla,,Swietenia,Meliaceae,Sapindales,wind (special),tree,350,,,,,,,,95.3,,552.621,552.621,field,tropics,Grogan & Galvao 2006
Acer saccharum,,Acer,Sapindaceae,Sapindales,wind (special),tree,55.2,,1.02,150,,,,,,150,,150,field,temperate,Greene & Johnson 1996
Artemisia frigida,,Artemisia,Asteraceae,Asterales,wind (special),herb,0.08,,,25,,,3,,,25,,25,field,temperate,Hume & Archbold 1986 in Cain et al. 1998
Asarum canadense,,Asarum,Aristolochiaceae,Piperales,ant,herb,13.7,,,35,,,1.54,0.25,,35,,35,field,temperate,Cain et al. 1998
Betula papyrifera,,Betula,Betulaceae,Fagales,wind (special),tree,0.4,,,475,,,,,,475,,475,field,temperate,Greene & Johnson 1995 in Cain et al. 1998
Betula alleghaniensis,,Betula,Betulaceae,Fagales,wind (none),tree,0.9,,0.95,250,,,85,,,250,,250,field,temperate,Greene & Johnson 1997
Bromus inermis,,Bromus,Poaceae,Poales,wind (special),herb,2.9,0.9,,7,,,1.72,,,7,,7,field,temperate,Hume & Archbold 1986 in Vittoz & Engler 2007
Dipsacus fullonum,Dipsacus sylvestris,Dipsacus,Caprifoliaceae,Dipsacales,wind (none),herb,3.1,,,1.5,,,0.2,,,1.5,,1.5,field,temperate,Werner 1975 in Cain et al. 1998
Elymus repens,Agropyron repens,Elymus,Poaceae,Poales,wind (none),herb,2.1,,,,,,7,,,,42.323,42.323,field,temperate,Hume & Archbold 1986 in Cain et al. 1998
Fraxinus americana,,Fraxinus,Oleaceae,Lamiales,wind (special),tree,38.1,,1.42,130,,,,,,130,,130,field,temperate,Greene & Johnson 1996
Hieracium aurantiacum,,Hieracium,Asteraceae,Asterales,wind (special),herb,,0.5,0.33,1.9,,,,0.1,,1.9,,1.9,field,temperate,Stergios 1976 in Willson 1993
Juniperus virginiana,,Juniperus,Cupressaceae,Pinales,wind (special),tree,15.1,,,1200,,,,,,1200,,1200,field,temperate,Greene & Johnson 1995 in Cain et al. 1998
Lithospermum caroliniense,,Lithospermum,Boraginaceae,UnplacedEuasteridI,wind (none),herb,5.66,,,199,,,58.8,,,199,,199,field,temperate,Westelaken & Maun 1985 in Cain et al. 1998
Panicum miliaceum,,Panicum,Poaceae,Poales,wind (none),herb,4.3,1,,3,,,,,,3,,3,field,temperate,McCanny & Cavers 1987
Picea glauca,,Picea,Pinaceae,Pinales,wind (special),tree,2.4,21,,475,,,4.84,,,475,,475,field,temperate,Greene & Johnson 1995 in Cain et al. 1998
Picea engelmannii,,Picea,Pinaceae,Pinales,wind (special),tree,3.2,,0.61,190,,,,,,190,,190,field,temperate,Greene & Johnson 1996
Pinus resinosa,,Pinus,Pinaceae,Pinales,wind (special),tree,8,,,475,,,,,,475,,475,field,temperate,Greene & Johnson 1995 in Cain et al. 1998
Pinus strobus,,Pinus,Pinaceae,Pinales,wind (special),tree,17,40,,475,,,,,,475,,475,field,temperate,Greene & Johnson 1995 in Cain et al. 1998
Pseudotsuga menziesii,,Pseudotsuga,Pinaceae,Pinales,wind (special),tree,9.2,90,,800,,,,,,800,,800,field,temperate,Greene & Johnson 1995 in Cain et al. 1998
Solidago missouriensis,,Solidago,Asteraceae,Asterales,wind (special),herb,0.33,,,45,,,,,,45,,45,field,temperate,Hume & Archbold 1986 in Cain et al. 1998
Tsuga canadensis,,Tsuga,Pinaceae,Pinales,wind (special),tree,2.7,30,,1600,,,,,,1600,,1600,field,temperate,Greene & Johnson 1995 in Cain et al. 1998
Castanopsis fargesii,,Castanopsis,Fagaceae,Fagales,animal,tree,460,,,35,,,,,,35,,35,field,temperate,Xiao et al. 2005
Cyclobalanopsis glauca,,Cyclobalanopsis,Fagaceae,Fagales,animal,tree,950,,,35,,,,,,35,,35,field,temperate,Xiao et al. 2005
Lithocarpus harlandii,,Lithocarpus,Fagaceae,Fagales,animal,tree,4560,,,35,,,21.9,,,35,,35,field,temperate,Xiao et al. 2005
Quercus serrata,,Quercus,Fagaceae,Fagales,animal,tree,1460,,,28.5,,,,5,,28.5,,28.5,field,temperate,Xiao et al. 2004
Quercus variabilis,,Quercus,Fagaceae,Fagales,animal,tree,2420,,,35,,,9.5,,,35,,35,field,temperate,Xiao et al. 2005
