"","SpeciesChecked","Taxa","Group","LifeSpan","Database","Field","Unit","ecotype","OriginalName","phylum","class","order","family","genus","species","Taxonomic.Group","Ecosystem.Type"
"219","Pernis apivorus","Pernis apivorus","Accipitriformes","29","amphibio","maximum_longevity_y","yrs","terrestrial","Pernis apivorus","Chordata","Aves","Accipitriformes","Accipitridae","Pernis","Pernis apivorus","Bird","terrestrial"
"221","Pernis ptilorhynchus","Pernis ptilorhynchus","Accipitriformes","29","amphibio","maximum_longevity_y","yrs","terrestrial","Pernis ptilorhynchus","Chordata","Aves","Accipitriformes","Accipitridae","Pernis","Pernis ptilorhynchus","Bird","terrestrial"
"242","Stephanoaetus coronatus","Stephanoaetus coronatus","Accipitriformes","18","amphibio","maximum_longevity_y","yrs","terrestrial","Stephanoaetus coronatus","Chordata","Aves","Accipitriformes","Accipitridae","Stephanoaetus","Stephanoaetus coronatus","Bird","terrestrial"
"247","Cathartes aura","Cathartes aura","Accipitriformes","20.8","amphibio","maximum_longevity_y","yrs","terrestrial","Cathartes aura","Chordata","Aves","Accipitriformes","Cathartidae","Cathartes","Cathartes aura","Bird","terrestrial"
"250","Coragyps atratus","Coragyps atratus","Accipitriformes","25.5","amphibio","maximum_longevity_y","yrs","terrestrial","Coragyps atratus","Chordata","Aves","Accipitriformes","Cathartidae","Coragyps","Coragyps atratus","Bird","terrestrial"
"255","Pandion haliaetus","Pandion haliaetus","Accipitriformes","32","amphibio","maximum_longevity_y","yrs","terrestrial","Pandion haliaetus","Chordata","Aves","Accipitriformes","Pandionidae","Pandion","Pandion haliaetus","Bird","terrestrial"
"258","Aix sponsa","Aix sponsa","Anseriformes","22.5","amphibio","maximum_longevity_y","yrs","terrestrial","Aix sponsa","Chordata","Aves","Anseriformes","Anatidae","Aix","Aix sponsa","Bird","terrestrial"
"261","Anas acuta","Anas acuta","Anseriformes","27.417","amphibio","maximum_longevity_y","yrs","terrestrial","Anas acuta","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas acuta","Bird","terrestrial"
"269","Anas crecca","Anas carolinensis","Anseriformes","27.1","amphibio","maximum_longevity_y","yrs","terrestrial","Anas crecca","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas crecca","Bird","terrestrial"
"273","Anas crecca","Anas crecca","Anseriformes","27.1","amphibio","maximum_longevity_y","yrs","terrestrial","Anas crecca","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas crecca","Bird","terrestrial"
"274","Anas cyanoptera","Anas cyanoptera","Anseriformes","12.917","amphibio","maximum_longevity_y","yrs","terrestrial","Anas cyanoptera","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas cyanoptera","Bird","terrestrial"
"275","Anas platyrhynchos","Anas diazi","Anseriformes","29.1","amphibio","maximum_longevity_y","yrs","aquatic","Anas platyrhynchos","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas platyrhynchos","Bird","aquatic"
"282","Anas fulvigula","Anas fulvigula","Anseriformes","29.1","amphibio","maximum_longevity_y","yrs","terrestrial","Anas fulvigula","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas fulvigula","Bird","terrestrial"
"293","Anas platyrhynchos","Anas platyrhynchos","Anseriformes","29.1","amphibio","maximum_longevity_y","yrs","aquatic","Anas platyrhynchos","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas platyrhynchos","Bird","aquatic"
"298","Anas rubripes","Anas rubripes","Anseriformes","29.1","amphibio","maximum_longevity_y","yrs","terrestrial","Anas rubripes","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas rubripes","Bird","terrestrial"
"309","Anser albifrons","Anser albifrons","Anseriformes","47","amphibio","maximum_longevity_y","yrs","terrestrial","Anser albifrons","Chordata","Aves","Anseriformes","Anatidae","Anser","Anser albifrons","Bird","terrestrial"
"310","Anser anser","Anser anser","Anseriformes","31","amphibio","maximum_longevity_y","yrs","aquatic","Anser anser","Chordata","Aves","Anseriformes","Anatidae","Anser","Anser anser","Bird","aquatic"
"314","Anser fabalis","Anser fabalis","Anseriformes","25.6","amphibio","maximum_longevity_y","yrs","terrestrial","Anser fabalis","Chordata","Aves","Anseriformes","Anatidae","Anser","Anser fabalis","Bird","terrestrial"
"318","Aythya affinis","Aythya affinis","Anseriformes","18.8","amphibio","maximum_longevity_y","yrs","terrestrial","Aythya affinis","Chordata","Aves","Anseriformes","Anatidae","Aythya","Aythya affinis","Bird","terrestrial"
"319","Aythya americana","Aythya americana","Anseriformes","22.6","amphibio","maximum_longevity_y","yrs","terrestrial","Aythya americana","Chordata","Aves","Anseriformes","Anatidae","Aythya","Aythya americana","Bird","terrestrial"
"322","Aythya collaris","Aythya collaris","Anseriformes","20.41666667","amphibio","maximum_longevity_y","yrs","terrestrial","Aythya collaris","Chordata","Aves","Anseriformes","Anatidae","Aythya","Aythya collaris","Bird","terrestrial"
"323","Aythya ferina","Aythya ferina","Anseriformes","23.2","amphibio","maximum_longevity_y","yrs","aquatic","Aythya ferina","Chordata","Aves","Anseriformes","Anatidae","Aythya","Aythya ferina","Bird","aquatic"
"324","Aythya fuligula","Aythya fuligula","Anseriformes","45.25","amphibio","maximum_longevity_y","yrs","aquatic","Aythya fuligula","Chordata","Aves","Anseriformes","Anatidae","Aythya","Aythya fuligula","Bird","aquatic"
"326","Aythya marila","Aythya marila","Anseriformes","22.1","amphibio","maximum_longevity_y","yrs","terrestrial","Aythya marila","Chordata","Aves","Anseriformes","Anatidae","Aythya","Aythya marila","Bird","terrestrial"
