"SpeciesChecked";"m";"sd";"med";"q025";"q975";"n"
"Astragalus lentiginosus";31.336;16.0315249430614;31.336;20.5668;42.1052;2
"Astragalus purshii";18.288;NA;18.288;18.288;18.288;1
"Astragalus sempervirens";10.8686567164179;3.6959932832823;11;5;18.35;67
"Athyrium filix-femina";69.6576;34.1996239355542;75;20.6;132;25
"Atriplex canescens";118.203333333333;13.3555186641283;121.92;101.375;142.278;12
"Atriplex confertifolia";91.44;0;91.44;91.44;91.44;3
"Atriplex lentiformis";304.8;0;304.8;304.8;304.8;3
"Atriplex littoralis";79.6129032258064;24.6247536967105;83;36.25;117.75;31
"Atriplex patula";80.2217391304348;37.1325996999174;80;27.75;150;23
"Atriplex polycarpa";157.728;34.4407944159248;182.88;120;182.88;5
"Atriplex prostrata";60.4761904761905;40.3752146231481;50;10.05;150;42
"Atriplex rosea";38.8571428571429;13.6678280575051;39;20.75;58.5;7
"Atriplex semibaccata";26.31;10.2207827488896;25;15.972;38.875;4
"Atriplex truncata";70;NA;70;70;70;1
"Atropa belladonna";109.40625;45.7834026660035;117.5;46.625;172.1;32
"Aurinia saxatilis";23.0555555555556;14.8838092495765;20;6;48;9
"Avena barbata";49.366422299249;24.9503934579354;44;16.2;98.4;45
"Avena fatua";109.3192;34.7164876679655;120;42;162.8;25
"Avena sativa";104.269090909091;36.2872499521651;105;60.24;150;11
"Azolla filiculoides";1.91666666666667;1.35708019905482;1.5;0.5625;3.875;6
"Baccharis arbutifolia";100;NA;100;100;100;1
"Baccharis brachyphylla";60;NA;60;60;60;1
"Baccharis pilularis";98.0941176470588;132.429304114442;35;15;356;17
"Baccharis salicifolia";267.92;139.46365834869;304.8;57;390.48;5
"Baccharis sarothroides";365.76;0;365.76;365.76;365.76;3
"Baccharis sergiloides";125;82.1583836257749;125;50;200;6
"Baileya multiradiata";50;14.142135623731;50;40.5;59.5;2
"Baldellia ranunculoides";15.2777777777778;8.87803156360938;20;5;28;9
"Balsamorhiza hookeri";32.004;2.1552614690566;32.004;30.5562;33.4518;2
"Balsamorhiza sagittata";60.96;NA;60.96;60.96;60.96;1
"Barbarea orthoceras";40;NA;40;40;40;1
"Barbarea vulgaris";54.3035714285714;36.8051272811261;51.25;10;130;28
"Bartsia alpina";14.4793103448276;8.31136826067357;10;4.4;32.75;29
"Bassia hyssopifolia";22.86;0;22.86;22.86;22.86;3
"Bassia scoparia";93.4901333333333;50.345197276782;107;8.3;150;15
"Bebbia juncea";95;51.9615242270663;95;50;140;4
"Beckmannia syzigachne";91.44;NA;91.44;91.44;91.44;1
"Bellardia trixago";28.6616666666667;15.2077880267535;25;11.18375;49.0625;6
"Bellis perennis";7.3264328358209;5.90825443281038;5.4;0.9325;24.8299999999999;134
"Berberis vulgaris";199.083333333333;98.6575494158333;162.5;31.925;300;48
"Berula erecta";80.8922;64.3362416974085;67.5;27.375;250;20
"Beta vulgaris";96.6666666666667;58.6113821509701;80;30;200;18
"Betonica officinalis";45;25;45;21.25;68.75;3
"Betula alleghaniensis";291.413229167411;609.018138908881;119.05;1.2;3000;448
"Betula lenta";2130.9;541.130016064267;2356;915.42;2757;22
"Betula nana";60.630303030303;37.9695798469369;54;7;127.125;66
"Betula occidentalis";1365.43529411765;170.099797696736;1350;1000;1514.4;17
"Betula papyrifera";646.726257668712;792.800005668001;212.5;0.8;2675;326
"Betula pendula";199.985671299995;281.017356505387;169;16.89;345;6259
"Betula populifolia";822.808666666667;389.512993600739;900;28.8315;1219.2;15
"Betula pubescens";411.571889400922;845.08316481642;7.5;1.68;3000;217
"Bidens cernua";49.1964444444444;30.6694810319355;47;4.875;106.25;36
"Bidens frondosa";66.82;41.6614306043371;71;7.5;141.5;21
"Bidens laevis";100.584;1.4210854715202e-14;100.584;100.584;100.584;2
"Bidens pilosa";80;0;80;80;80;2
"Bidens tripartita";68.67875;51.1899492576424;63.5;3;165.005;16
"Bistorta bistortoides";9.05466666666667;8.31508160138768;7.2;3.7975;40.6879;54
"Bistorta officinalis";80;NA;80;80;80;1
"Bituminaria bituminosa";39.8019409274936;28.8484770232265;31.25;8.193625;107.5;26
"Blackstonia perfoliata";25.98;13.7723152253594;21.5;9.2;47;25
"Blitum nuttallianum";24.384;NA;24.384;24.384;24.384;1
"Blysmus compressus";25.9;13.5847136313006;27.5;8.45;43.875;10
"Boechera divaricarpa";91.44;NA;91.44;91.44;91.44;1
"Boechera holboellii";60.96;NA;60.96;60.96;60.96;1
"Boechera stricta";67.98;9.92777920785913;67.98;61.311;74.649;2
"Bolboschoenus maritimus";86.0446666666667;40.21991292729;98.768;30;147.25;12
"Bothriochloa barbinodis";121.92;NA;121.92;121.92;121.92;1
"Botrychium lunaria";8.5745;10.1639110052714;3;1.5;30.012;40
"Botrychium simplex";6;3.84707681233427;6;2;11.5;6
"Bouteloua curtipendula";48.4037209302326;9.479615038909;48.4;34;87.01;86
"Bouteloua eriopoda";60.96;NA;60.96;60.96;60.96;1
"Bouteloua gracilis";14.1777891156463;11.396382406093;9.33333333333333;4.7375;44.875;98
"Boykinia rotundifolia";40;NA;40;40;40;1
