"SpeciesChecked";"m";"sd";"med";"q025";"q975";"n"
"Drosera intermedia";4.75;3.86867763798777;3;2;13.125;16
"Drosera rotundifolia";7.93181818181818;5.57267024680751;5;2;18.95;22
"Dryas octopetala";14.8595658402204;17.8231301694878;8;1.4;50;33
"Dryopteris aemula";51.6666666666667;32.3522281561358;60;15;95;6
"Dryopteris carthusiana";62.75;37.8309470613089;60;18.375;134.25;10
"Dryopteris dilatata";94.5;55.4857339022083;92.5;20;168.75;16
"Dryopteris expansa";74.4444444444444;47.6605473927627;80;12;144;9
"Dryopteris filix-mas";92.8125;46.7606939640549;102.5;20.625;168.75;16
"Dryopteris oreades";68.1818181818182;32.807981290589;80;30;120;11
"Dulichium arundinaceum";79.248;NA;79.248;79.248;79.248;1
"Dysphania ambrosioides";65.3235294117647;31.4885600141497;60;16;112;17
"Dysphania botrys";42.1428571428571;22.7041007414121;40;12.25;70;7
"Dysphania pumilio";55;26.4575131106459;60;22.25;79.25;4
"Eastwoodia elegans";100;NA;100;100;100;1
"Echinochloa colona";60.96;NA;60.96;60.96;60.96;1
"Echinochloa crus-galli";77.2944444444444;38.7845704951948;82;19.71;139.8;18
"Echinops ritro";53.5714285714286;20.5577004457952;50;30;80;7
"Echium vulgare";54.8375;30.8682869836398;52.5;14.0925;94.25;24
"Eclipta prostrata";97.536;0;97.536;97.536;97.536;2
"Ehrharta calycina";121.92;NA;121.92;121.92;121.92;1
"Ehrharta erecta";70;42.4264068711929;70;41.5;98.5;2
"Elaeagnus angustifolia";903.590909090909;444.246420152354;900;171.75;1737.5;22
"Elatine hexandra";8.53846153846154;6.34908634654605;7;2.15;20;13
"Eleocharis acicularis";10.1214545454545;6.10198846874748;10;2;21.002;11
"Eleocharis geniculata";88.6935483870968;41.3798818709758;85;38.5;164.875;31
"Eleocharis multicaulis";31.4285714285714;13.451854182691;30;15;49.25;7
"Eleocharis palustris";48.9164848484848;31.9239641610746;48;9;110;33
"Eleocharis quinqueflora";18;10.3279555898864;17.5;5;30;10
"Eleocharis rostellata";91.44;NA;91.44;91.44;91.44;1
"Eleocharis uniglumis";32.75;18.8727463702439;35;6.125;60;10
"Elodea canadensis";103.125;132.529477853042;48.75;16.6875;282;4
"Elymus athericus";47.3720930232558;37.3841214420125;31;10;120;43
"Elymus caninus";79.8684210526316;39.5852954269017;90;30;153;19
"Elymus elymoides";33.6664150943396;13.9844423301725;30;16;65.4999999999999;53
"Elymus glaucus";36.1697777777778;15.1382282200073;33;23.25;70.3043999999999;27
"Elymus repens";67.008690735;33.1343367210014;66.722857145;15;130;92
"Empetrum nigrum";34.0816393442623;29.6609091330845;30;5;120;61
"Encelia californica";90;0;90;90;90;2
"Encelia farinosa";70.72;55.8256715140982;50;31.194;145.47;4
"Encelia frutescens";80;NA;80;80;80;1
"Encelia virginensis";100;54.7722557505166;100;50;150;6
"Endotropis crocea";261.472;158.898325227172;201;152.4;621.512;15
"Ephedra nevadensis";91.44;0;91.44;91.44;91.44;2
"Ephedra trifurca";320.04;193.973532215094;320.04;189.738;450.342;2
"Ephedra viridis";91.44;0;91.44;91.44;91.44;2
"Epilobium alsinifolium";13.1176470588235;8.15385148979592;10;5;30;17
"Epilobium anagallidifolium";6.26190476190476;4.63038618157019;4;2.5;17.5;21
"Epilobium brachycarpum";28.6;9.6171143743271;27;16.35;45.2;10
"Epilobium ciliatum";81.6666666666667;39.2578205022673;75;30;150;18
"Epilobium glaberrimum";60.96;0;60.96;60.96;60.96;2
"Epilobium hirsutum";136.111111111111;56.5572095202543;150;39.5;217.5;27
"Epilobium hornemannii";5;NA;5;5;5;1
"Epilobium lanceolatum";45;22.1735578260835;45;20;81;13
"Epilobium montanum";44.5;26.4525394264003;45;7.375;80;20
"Epilobium obscurum";60.2941176470588;26.1886538072367;60;24;100;17
"Epilobium palustre";35.8104166666667;17.9779332078951;38.75;12.875;64.25;24
"Epilobium parviflorum";52.5652173913044;18.9132615497855;52;30;84.5;23
"Epilobium roseum";51.875;23.987844143788;51.25;21.875;86.25;16
"Epilobium tetragonum";55.4807692307692;25.0800641024822;60;25;100;26
"Epipactis atrorubens";33.6666666666667;21.2868727712868;30;9.4;73;15
"Epipactis helleborine";28.9476744186047;18.7613540634132;22;10;80;86
"Epipactis palustris";38.1818181818182;17.4675022932197;37.5;15;60;11
"Epipactis phyllanthes";29.6923076923077;22.5668238452277;20;8;65;26
"Epipactis purpurata";35.3333333333333;25.9203909435538;25;9.375;69.375;6
"Equisetum arvense";39.5876842105263;17.9859438062139;38.6;12.775;71.4999999999999;38
"Equisetum fluviatile";96.04;43.0415798966534;100;27.5;150;11
"Equisetum hyemale";46.8484848484849;31.2070917542403;41;13;126;33
"Equisetum laevigatum";152.4;NA;152.4;152.4;152.4;1
"Equisetum palustre";37.5375;19.3868641094943;33.05;10;69.375;16
"Equisetum pratense";39.5833333333333;19.900795628986;41.25;15.625;60;6
"Equisetum sylvaticum";38.5954666666667;28.5552270868392;32.5;10;86.5;15
"Equisetum telmateia";432.777777777778;657.025071397161;180;50;1800;9
"Equisetum variegatum";32.5;21.1905276370944;25;10;73.5;14
"Eragrostis barrelieri";40;14.142135623731;40;21.25;58.75;6
"Eragrostis cilianensis";42;33.2665998663324;27.5;6.125;90;10
"Eragrostis curvula";65.5466666666667;34.273737791817;50;27;120;11
"Eragrostis hypnoides";8.81;1.68291413922398;8.81;7.6795;9.9405;2
"Eragrostis mexicana";24.2;6.25033332444492;25;14.675;33.1;10
"Eragrostis minor";18.8636363636364;13.2930261962634;12.5;6.25;45;11
"Eragrostis pectinacea";38.7;17.8561344770233;32.75;17.4375;71.5175;14
"Eragrostis pilosa";30;25.1246890528022;20;6;70;9
"Eremogone kingii";21.336;NA;21.336;21.336;21.336;1
"Eriastrum diffusum";20;NA;20;20;20;1
"Erica ciliaris";64.1666666666667;48.8891758485609;60;20;172.5;12
"Erica cinerea";49.4318181818182;22.4394929567458;60;12.625;77.375;22
"Erica tetralix";44.2368421052632;19.3077189666699;45;17.25;70;19
"Ericameria cooperi";75;NA;75;75;75;1
"Ericameria cuneata";40;NA;40;40;40;1
"Ericameria discoidea";25;NA;25;25;25;1
"Ericameria ericoides";100;NA;100;100;100;1
"Ericameria laricifolia";125;NA;125;125;125;1
"Ericameria linearifolia";150;NA;150;150;150;1
"Ericameria nauseosa";300.64;309.910475847461;121.92;80;700;6
"Ericameria parryi";95;77.7817459305202;95;42.75;147.25;2
"Ericameria pinifolia";182.88;86.2104587622639;182.88;124.968;240.792;2
"Erigeron acris";25.5333333333333;32.8739294593031;8;5;100;15
"Erigeron alpinus";7.80555555555556;4.62489811127581;7;2.4375;20.625;36
"Erigeron annuus";75.108;26.3149359311632;80.5;14.5;131.275;50
"Erigeron canadensis";47.5933333333333;36.285302578085;36;8;150.36;75
"Erigeron compositus";30.48;NA;30.48;30.48;30.48;1
"Erigeron divergens";15.9047619047619;11.4584674451026;15.7;6.2;41.1;21
"Erigeron eatonii";24.384;NA;24.384;24.384;24.384;1
"Erigeron filifolius";30.48;NA;30.48;30.48;30.48;1
"Erigeron glacialis";30.64;NA;30.64;30.64;30.64;1
"Erigeron glaucus";50;NA;50;50;50;1
"Erigeron linearis";30.48;NA;30.48;30.48;30.48;1
"Erigeron neglectus";10;5.70087712549569;8.75;5;19.0625;6
"Erigeron petrophilus";30.48;NA;30.48;30.48;30.48;1
"Erigeron philadelphicus";85.344;0;85.344;85.344;85.344;2
"Erigeron uniflorus";6.5;3.06865877325366;5.5;3.15;11.4;7
"Eriodictyon californicum";226.68;38.1564778248727;226.92;184.914;268.038;4
"Eriogonum cinereum";83;0;83;83;83;3
"Eriogonum fasciculatum";91.44;0;91.44;91.44;91.44;4
"Eriogonum inflatum";20;NA;20;20;20;1
"Eriogonum marifolium";24.384;NA;24.384;24.384;24.384;1
"Eriogonum microtheca";32.004;2.1552614690566;32.004;30.5562;33.4518;2
"Eriogonum ovalifolium";20;NA;20;20;20;1
"Eriogonum sphaerocephalum";30.48;0;30.48;30.48;30.48;2
"Eriogonum strictum";64.008;4.3105229381132;64.008;61.1124;66.9036;2
"Eriogonum trichopes";20;NA;20;20;20;1
"Eriogonum umbellatum";33.6533333333333;5.49637456268524;30.48;30.48;39.524;3
"Eriogonum wrightii";60.96;0;60.96;60.96;60.96;2
"Eriophorum angustifolium";22.5036363636364;16.613450191719;17;1.474;60;55
"Eriophorum gracile";46.477;17.7442369879833;50.908;13.5;60;8
"Eriophorum latifolium";35.1071428571429;21.3579192405467;34;7.3;60;14
"Eriophorum scheuchzeri";14.04375;6.49714267222337;13;4.775;30.99;32
"Eriophorum vaginatum";42.3333333333333;16.1318968270348;40;17;66.5;15
"Eriophyllum confertiflorum";52.5;31.8198051533946;52.5;31.125;73.875;2
"Eritrichium nanum";1.12428571428571;1.14460450834316;0.65;0.3;4.625;56
"Erodium botrys";10.426;5.65730763928304;9;5;24.8306;52
"Erodium cicutarium";24.37951397048;20.4776400625268;23.25;1.4875;60;40
"Erodium moschatum";37.8333333333333;17.4555713082377;37.5;14.2;60;12
"Eruca vesicaria";39.640221402214;30.4842808058038;34;4;110.5;271
"Eryngium campestre";36.7281105990783;17.4882605848597;33;15;71.25;31
"Erysimum capitatum";31.405;30.2769455746998;20;10.2135;71.985;4
"Erythranthe cardinalis";76.2;NA;76.2;76.2;76.2;1
"Erythranthe moschata";21.4583333333333;12.5434849683617;18.75;10;40;12
"Erythranthe primuloides";45.72;NA;45.72;45.72;45.72;1
"Erythranthe suksdorfii";18.288;NA;18.288;18.288;18.288;1
"Erythranthe tilingii";20;NA;20;20;20;1
"Erythronium grandiflorum";15.547619047619;3.58784323063579;15;12.25;23.5;21
"Eschscholzia californica";18.7796363636364;13.2786316511958;13.5;6;47.375;22
"Eschscholzia minutiflora";20;NA;20;20;20;1
"Eucalyptus camaldulensis";3623.86666666667;1248.03961864076;4000;1590.42;5587.5;12
"Eucalyptus globulus";2624.535;2372.59791538227;3500;23.4875;8000;60
"Eucalyptus tereticornis";4000;1322.8756555323;4500;2600;4975;3
"Euonymus europaeus";367.211538461538;181.706004361761;300;150;600;52
"Euonymus occidentalis";609.6;NA;609.6;609.6;609.6;1
"Eupatorium cannabinum";93.695652173913;53.4563839053593;100;12.3;150;23
"Euphorbia albomarginata";3.15;2.61629509039023;3.15;1.3925;4.9075;2
"Euphorbia amygdaloides";32.3636363636364;23.0521056991985;23;8;80;44
"Euphorbia characias";86;21.9089023002066;100;53;100;5
"Euphorbia dulcis";33.75;14.4337567297406;32.5;20;56.25;16
"Euphorbia lathyris";92.5;48.6239212146215;100;23.5;150;8
"Euphorbia maculata";10.5;6.22494979899437;10;5;19.25;5
"Euphorbia misera";75;NA;75;75;75;1
"Euphorbia nutans";19.5155945459649;6.34058477163272;18.55555556;17.922222224;33;57
"Euphorbia peplus";19.6395238095238;10.13897454193;20;6.215;32.5;21
"Euphorbia serrata";41.6111111111111;11.4394541439315;44.5;22;54;9
"Euphorbia spathulata";31.2;9.62808392152873;32;16.7;38.9;5
"Euphorbia spinosa";21.9259259259259;8.96650144416138;20;10.8;40.25;27
"Euphorbia stricta";45.5;28.4263180091189;45;15;80;10
"Euphrasia arctica";31;2.23606797749979;30;30;34.5;5
"Euphrasia frigida";8.25263157894737;9.16499187252186;5;0.7;25.5;19
"Euphrasia officinalis";18.5357142857143;14.1384240579778;15.5;3.05;49.875;42
"Euphrasia salisburgensis";11.2272727272727;5.66287752102955;12;2.75;20;11
"Eurybia macrophylla";46.1725714285714;67.6633071387468;8;4.15;148.5312;7
"Euthamia occidentalis";182.88;NA;182.88;182.88;182.88;1
"Fagonia arabica";20;NA;20;20;20;1
"Fagus grandifolia";207.812555831266;361.91454967616;167.8;18.5;441.899999999999;2015
"Fagus sylvatica";1005.06398210291;1277.52225230952;193.5;53.3;4285;447
"Fallopia convolvulus";78.4172839506173;50.8299085608577;75;11.5;167.5;27
"Fallugia paradoxa";182.88;0;182.88;182.88;182.88;3
"Farsetia aegyptia";48.3333333333333;10.4083299973307;45;40.25;59.25;3
"Ferula communis";115;49.4974746830583;115;81.75;148.25;2
"Festuca alpina";8.75;6.40117176773128;6;3.25;19.0625;6
"Festuca altissima";52.3214285714286;56.6804255005256;24;9;200;28
"Festuca brachyphylla";5.26852941176471;1.98066915311913;4.9;2.525;9.1;51
"Festuca californica";121.92;NA;121.92;121.92;121.92;1
"Festuca flavescens";45;15;45;30.75;59.25;3
"Festuca halleri";12.25;4.30987238790199;13.25;5.625;16.75;6
"Festuca heterophylla";68.125;36.1990237186284;62.5;22.0625;117.25;12
"Festuca idahoensis";42.83;25.6396918858242;42.83;25.6065;60.0535;2
"Festuca occidentalis";91.44;NA;91.44;91.44;91.44;1
"Festuca ovina";22.226375;20.0814541391331;11;2;70;96
"Festuca quadriflora";11.25;5.4198708471697;10;5.3125;19.375;6
"Festuca rubra";34.8190825545327;25.5873164283077;30;3.765;96.7499999999998;214
"Festuca scabriculmis";40;15;40;25.75;54.25;3
"Festuca subulata";36.576;NA;36.576;36.576;36.576;1
"Festuca varia";35;20;35;16;54;3
"Festuca violacea";31.25;12.4247736397892;30;15.9375;48.75;6
"Festuca viridula";76.2;NA;76.2;76.2;76.2;1
"Festuca vivipara";15.9333333333333;14.2349335556346;9;4.55;42.9;12
"Ficaria verna";15.6145714285714;10.0336795616672;12;5;30;35
"Ficus carica";787.5;415.546112277051;1000;217.5;1200;8
"Filipendula ulmaria";92.0300245097917;34.9514516364381;97;25;147.025;48
"Filipendula vulgaris";20.809756097561;21.6192864271416;15;0.6;79.95;82
"Fimbristylis dichotoma";19.375;15.0519932234904;16.25;5.5625;38.5;4
"Floerkea proserpinacoides";40;NA;40;40;40;1
"Forestiera pubescens";171.92;18.9832768509549;182.88;151.644;182.88;3
"Fouquieria splendens";386.533333333333;141.566286005296;304.8;304.8;537.74;3
"Fragaria chiloensis";23.442;1.33218917575546;23.442;22.5471;24.3369;2
"Fragaria vesca";11.3529411764706;5.362832282454;10;5;21.45;119
"Fragaria virginiana";12.8146376811594;7.12205017981854;12.4;4.35;29.063;69
"Frangula alnus";399.027637367273;180.856591140466;400;100;700;55
"Frangula californica";352.218181818182;144.058861707163;295;152.4;582.2;11
"Frangula purshiana";973.024;217.285017615113;1000;648.64;1176.528;5
"Frasera speciosa";46.27;47.7014234588445;46.27;14.2265;78.3135;2
"Fraxinus americana";443.157980769231;822.290226067268;153.6;2.7175;3367.55999999999;208
"Fraxinus anomala";467.64;222.996705071459;500;200;797.932;12
"Fraxinus dipetala";701.04;NA;701.04;701.04;701.04;1
"Fraxinus excelsior";1532.8357615894;1532.54098957013;620;76.375;4225;151
"Fraxinus latifolia";2014.25142857143;506.071451985079;2133.6;1176.78;2484.456;7
"Fraxinus nigra";2121.83407405556;597.599963140371;2400;860.52;2700;18
"Fraxinus ornus";1162.82352941176;680.704068896143;1000;207.2;2000;17
"Fraxinus pennsylvanica";974.299746835443;1339.50533035757;66;11.9;4360;79
"Fraxinus velutina";1293.50222222222;337.962255354713;1219.2;902.88;1800;9
"Fremontodendron californicum";544.525714285714;339.785177176067;304.8;201.168;912.24;7
"Fritillaria meleagris";29.6428571428571;12.1130586755035;30;15.75;48.5;7
"Fritillaria pudica";30.48;NA;30.48;30.48;30.48;1
"Fumana ericoides";26.8435483870968;10.8775392131532;25;10;50;62
"Fumana procumbens";16.8636363636364;10.597383896724;15;3.625;37.5;11
"Fumana thymifolia";22.6153846153846;11.3544298369877;20;10;44;13
"Fumaria bastardii";93.75;12.5;100;76.875;100;4
"Fumaria capreolata";65.1733333333333;32.5162699202078;60;17;100;15
"Fumaria muralis";64.5;34.6770817687994;65;14.5;100;10
"Fumaria occidentalis";100;0;100;100;100;4
"Fumaria officinalis";41.0625;31.8338787038798;27.5;10;100;16
"Fumaria purpurea";90;20;100;63;100;4
"Funastrum hirtellum";80;NA;80;80;80;1
"Gagea lutea";21.1428571428571;8.98941176103997;25;8.3;30;7
"Gagea serotina";6.74724137931034;2.72100344420659;6.5;2.215;13.7;87
"Galeopsis tetrahit";47.1526315789474;35.3944183989675;40;10;100;19
"Galinsoga parviflora";37.95;28.1396423872836;31.5;5;90.5;20
"Galinsoga quadriradiata";34.5;33.3769381459714;22;5;100;26
"Galium album";62.3838823529412;34.9464943339857;58;14.9156;130;17
"Galium aparine";45.0692467532468;49.2384257572958;21;4;150;77
"Galium boreale";25.8579310344828;14.5537326897429;23;7.15;54.25;87
"Galium concinnum";30;NA;30;30;30;1
"Galium divaricatum";18.75;10.2164083708513;18.75;5.625;30;6
"Galium murale";20;14.142135623731;20;10.5;29.5;2
"Galium odoratum";12.2413223140496;8.03811409703262;10;4;35;121
"Galium palustre";47.2906976744186;28.8374327992982;41.1;15;120;43
"Galium parisiense";21.0551667931976;11.6738932015959;17.5;6.65;42.05;23
"Galium pumilum";26.1717391304348;18.1636489256011;22.5;4.25;60;23
"Galium pusillum";5.33333333333333;4.50924975282289;5;1.2;9.75;3
"Galium rotundifolium";16.6666666666667;6.61437827766148;15;10;28;9
"Galium saxatile";17.3611111111111;9.33337710073772;15;5;32.875;18
"Galium setaceum";10;NA;10;10;10;1
"Galium sylvaticum";61.9583333333333;27.1615188467178;55;31.375;107.25;12
"Galium tricornutum";44.75;20.0323601840985;47.5;11.375;71.525;12
"Galium trifidum";32.192;11.0421794950091;32.192;24.7744;39.6096;2
"Galium uliginosum";33.7375;17.8528237323229;35;10;60;24
"Galium verum";16.8758450520833;20.924073266268;9;1.9375;78.125;256
"Gambelia speciosa";40;NA;40;40;40;1
"Garrya elliptica";609.6;NA;609.6;609.6;609.6;1
"Garrya wrightii";182.88;0;182.88;182.88;182.88;3
"Gaudinia fragilis";42.4236363636364;29.2847083894401;40;16.04;105;11
"Gaultheria shallon";126.930909090909;54.1693702113188;150;35.36;182.88;11
"Genista anglica";40.2272727272727;27.0131040831629;40;10;94.75;22
"Genista cinerea";77.3225806451613;22.2596602201893;73;46.75;118.75;31
"Genista hispanica";30;22.1784208847514;26;4.825;75.75;18
"Genista monspessulana";158.333333333333;73.5980072193987;150;100;281.25;6
"Genista pilosa";37.6515151515151;38.5136917310919;25;8.2;150;33
"Genista scorpius";80.4285714285714;43.0152406057405;72;19.1;200;35
"Genista tinctoria";58.5785714285714;54.8828608282988;47.5;10;200;28
"Gentiana acaulis";7.18833333333333;3.82622727389725;5.115;3.06325;14.01;12
"Gentiana bavarica";7.57142857142857;4.35343323738644;6;2.45;14.25;7
"Gentiana brachyphylla";3.5;1.5;3.5;2.075;4.925;3
"Gentiana calycosa";18.288;NA;18.288;18.288;18.288;1
"Gentiana lutea";67.7538461538462;29.9583423380037;53.6;37.83;120;13
"Gentiana nivalis";7.625;5.20416499866533;6.25;2.375;15;16
"Gentiana orbicularis";3.92857142857143;1.36713116380529;4;2.15;5.85;7
"Gentiana pannonica";38.75;16.8634219540401;38.75;20;59.375;6
"Gentiana pneumonanthe";63.2857142857143;169.567137988805;26;7;427.5;21
"Gentiana punctata";37.075;15.1921737370642;38.75;20;59.125;8
"Gentiana verna";4.1925;2.0019717844268;4;1.9875;9.22;40
"Gentianella amarella";20.7157894736842;17.1148494055729;17.5;3;50;19
"Gentianella campestris";16.8407407407407;9.91887320132915;15;4.23;33.5;27
"Gentianella germanica";19.6071428571429;15.3613012703865;15;4.35;50;28
"Gentianopsis detonsa";14.375;8.75;13.75;5.375;24.4375;4
"Geranium carolinianum";20;17.3205080756888;10;10;38.5;3
"Geranium columbinum";32.0238095238095;19.6153487035511;30;10;60;21
"Geranium dissectum";13.4578313253012;15.2357900247581;8;4;60;83
"Geranium lucidum";26.8733333333333;12.9834216636154;30;10;40;15
"Geranium maculatum";37;15.9499216299015;34.5;18.125;58.75;6
"Geranium molle";25.519696969697;29.9667105390349;17.5;7.28;68.0000000000004;33
"Geranium nodosum";22.1666666666667;6.06247665466893;20;15;35.4;24
"Geranium pratense";41.1872865274194;23.8584040113389;30;16.25;87.0294117625;31
"Geranium purpureum";29.5;16.7492004073542;30;10;50;15
"Geranium pusillum";24.1176470588235;12.2774302733775;25;10;40;17
"Geranium richardsonii";26.9533333333333;21.8080207652361;21;10.375;77.294;12
"Geranium robertianum";25.4196078432353;15.5866603538637;20;10;50;34
"Geranium rotundifolium";25.0171428571429;10.4443479146065;25;10;40.3;35
"Geranium sanguineum";27.7277777777778;12.461389085841;25;10;50;27
"Geranium sylvaticum";31.5029545454545;19.2208927725699;30;6.075;79.25;44
"Geum canadense";52.2051428571429;28.5351001315307;49.5;11.25;112.7386;14
"Geum macrophyllum";51.105;11.4252512736774;51.73;40.1875;60.96;4
"Geum montanum";16.25;8.682741502544;17.4;3.77;29;9
"Geum reptans";9.28571428571429;5.94318337016692;7.5;3.3;18.875;7
"Geum rivale";45.1234615384615;24.8112076195106;37.6;20;91.44;26
"Geum triflorum";28.524;18.9607193956348;40;6.31;45.248;5
"Geum urbanum";47.1676700678571;20.9395163241828;50;20;83.25;28
"Glandularia gooddingii";45;NA;45;45;45;1
"Glebionis coronaria";30;14.142135623731;30;20.5;39.5;2
"Glechoma hederacea";37.3452380952381;26.9123346675646;30;7.025;80.39;42
"Gleditsia triacanthos";3362.032;1271.56699611149;4000;1040.08;5000;25
"Glinus lotoides";23.3333333333333;11.5470053837925;30;11;30;3
"Globularia nudicaulis";10.5576923076923;6.52092293294714;8;3.6;23.5;13
"Globularia vulgaris";24.2142857142857;13.2723306884948;20;9.275;47;7
"Glyceria borealis";124.676;34.8971338651185;124.676;101.2338;148.1182;2
"Glyceria declinata";40.7777777777778;22.4709689253589;50;8.4;68;9
"Glyceria fluitans";69.5833333333333;33.7408798002804;75;25;117.25;12
"Glyceria maxima";154.166666666667;57.3994509529226;187.5;60;200;12
"Glyceria notata";68.5714285714286;25.2841000291827;80;24.5;92.75;7
"Glyceria striata";90.7472;57.0283397899676;100;24;166.3624;5
"Glycyrrhiza lepidota";121.92;0;121.92;121.92;121.92;3
"Gnaphalium norvegicum";11.5192592592593;9.3886952996782;8;4.3;31.75;27
"Gnaphalium sylvaticum";50.7941176470588;33.352782316252;50;8;100;17
"Gnaphalium uliginosum";14.9583333333333;7.41147247464525;20;4;22.9;12
"Goodyera repens";15.9;10.3462285130595;13.75;3.45;30;10
"Gordonia lasianthus";1143.72;771.119184881499;1109.6;350;2007.884;14
"Grayia spinosa";91.44;0;91.44;91.44;91.44;3
"Grindelia hirsutula";145;148.492424049175;145;45.25;244.75;2
"Groenlandia densa";44;17.1026313764871;50;21.5;63.5;5
"Gutierrezia microcephala";79.6;60.0066662963374;78;20;140;5
"Gutierrezia sarothrae";26.31;8.95750935880301;22.5;17.575;45.72;24
"Gymnocarpium dryopteris";18.4807692307692;12.5047837000332;12;6.625;45;26
"Gymnocarpos decandrus";22.5;24.7487373415292;22.5;5.875;39.125;2
"Hackelia californica";20;NA;20;20;20;1
"Halerpestes cymbalaria";30.48;NA;30.48;30.48;30.48;1
"Halogeton alopecuroides";16.735632183908;6.93978458452246;16;5;29;261
"Halogeton glomeratus";28.3333333333333;1.52752523165195;28;27.05;29.9;3
"Hammarbya paludosa";9.33333333333333;6.15826618653679;9;3;20;12
"Harrimanella hypnoides";2.86315789473684;3.32569299817777;1.1;1;10.5;19
"Hazardia squarrosa";80;0;80;80;80;3
"Hedera helix";1324.81;1147.76889834147;1012.5;15;3000;40
"Hedypnois rhagadioloides";18.6518181818182;10.7423617684211;25;5.0925;30.975;11
"Hedysarum hedysaroides";35.8918918918919;12.559931404147;38;10;58.2;37
"Helianthella quinquenervis";43.5806451612903;16.8434442114202;41;19;80.625;31
"Helianthemum nummularium";11.0015828571429;7.55307095727726;10;3;30;350
"Helianthus annuus";247.038571428571;71.7808454649385;274.32;73.75;315.166;28
"Helianthus tuberosus";194.180266666667;53.3803335742222;190;100;281.6576;15
"Helichrysum stoechas";34.7424090909091;13.6649559114829;32.5;12.625;60;22
"Helictochloa versicolor";19.5;11.861703081767;17;8.25;38.125;6
"Heliomeris multiflora";39.1818181818182;12.8114025240032;33.25;25.05;61.425;22
"Heliosperma alpestre";17.5;7.5;17.5;10.375;24.625;3
"Heliotropium curassavicum";31.0506666666667;9.57015806208724;36.576;20.8288;36.576;3
"Helleborus foetidus";45.2272727272727;25.2830299159654;40;20;89.5;22
"Helleborus viridis";29.6875;10.2011028815516;28.75;15;40;16
"Helminthotheca echioides";52.65625;22.0504865781536;47.5;30;90;16
"Hepatica nobilis";8.73255813953488;3.75777828389992;8;3;16;215
"Heracleum austriacum";17.5;12.5;17.5;5.625;29.375;3
"Heracleum mantegazzianum";333.75;158.875666081144;335;99.25;550;12
"Heracleum sphondylium";101.032083333333;84.8373859016837;55;16.88625;300;48
"Herminium monorchis";12.72;9.37840985607749;10;1.955;30;15
"Herniaria hirsuta";10.3571428571429;5.80923856862952;8;5;20;14
"Hesperoyucca whipplei";425;0;425;425;425;2
"Heteromeles arbutifolia";622.8;166.409775353894;609.6;406.5;800;7
"Heteropogon contortus";50.1065454545455;31.5301362520483;31.5;21.336;100;11
"Heuchera cylindrica";182.88;NA;182.88;182.88;182.88;1
"Hieracium albiflorum";91.44;NA;91.44;91.44;91.44;1
"Hieracium alpinum";9.86;5.74728921608556;10;2.3;18.5;13
"Hieracium murorum";34.1363636363636;17.4299898294447;35;8.625;57.5;11
"Hieracium piliferum";8;6.9065186599328;5;2.1875;19.0625;6
"Hieracium pilosum";15.7142857142857;8.98079962502014;15;5.375;28.875;7
"Hieracium prenanthoides";70.3125;38.1359761717388;68.75;25.875;120;8
"Hieracium scouleri";70.48;13.4633131137919;70.48;61.436;79.524;2
"Hieracium sylvaticum";2.8;0.894427190999916;3;2;5;20
"Hieracium villosum";21.0714285714286;9.98510795897475;20;10.75;38.125;7
"Hilaria jamesii";60.96;NA;60.96;60.96;60.96;1
"Hilaria rigida";75.72;22.2314372005051;75.72;60.786;90.654;2
"Hippocrepis comosa";18.5634615384615;14.1712847525714;12.5;4.26875;47.5;26
"Hippocrepis emerus";143;57.164480035926;150;56.75;200;10
"Hippophae rhamnoides";489.339;525.715632441956;300;24.8;1800;40
"Hippuris vulgaris";53.8949090909091;32.9599375771695;60;8.75;100;11
"Hirschfeldia incana";72.1153846153846;35.1070706590056;80;11.5;124.6;13
"Holcus lanatus";45.0464635556818;20.6605416714373;41.05;13.93125;100;176
"Holcus mollis";58.1466666666667;29.6960042205457;58.4;16.75;100;15
"Holodiscus discolor";265.9;103.523062440902;290;101.688;394.008;8
"Homogyne alpina";10.6476470588235;10.1226685768945;6.48;3;30;17
"Homogyne discolor";8.25;6.6764511531202;5;3.125;19.0625;6
"Hordelymus europaeus";89.0909090909091;31.2104294922532;100;42.5;120;11
"Hordeum brachyantherum";35.8586666666667;11.8471708015036;29;27;58.5216;9
"Hordeum jubatum";50;16.7332005306815;60;22.5;60;6
"Hordeum marinum";21.7727272727273;17.0255156109347;15;5;55;11
"Hordeum murinum";30.3;13.1761801800799;27;10;60;59
"Hordeum secalinum";47.5;27.118566825455;50;15;78.5;7
"Hordeum vulgare";91.6375;35.6291430339453;83.5;37.5;150;16
"Horkelia fusca";15;NA;15;15;15;1
"Hosackia crassifolia";106.68;NA;106.68;106.68;106.68;1
"Hottonia palustris";50;28.2842712474619;40;24;108;9
"Humulus lupulus";430;229.751418462899;400;150;800;15
"Huperzia lucidula";15;NA;15;15;15;1
"Huperzia selago";12.0572727272727;7.32377809201819;9.44;5;30;22
"Hyacinthoides non-scripta";31.2;17.0802029652265;25;9.35;50;10
"Hydrocharis morsus-ranae";15.6363636363636;16.4880121741387;8;1;45;11
"Hydrocotyle ranunculoides";30;10;30;20.5;39.5;3
"Hydrocotyle vulgaris";15.3508695652174;15.7783473362717;12;0.964;55;23
"Hydrophyllum capitatum";30.48;NA;30.48;30.48;30.48;1
