name	family	comment	citation_total	citation_prop_ane	citation_prop_dyso	citation_prop_endo	citation_prop_epi	citation_prop_hem	citation_prop_hydro	citation_prop_other	fruit_type	dia_type	dia_exposure	dia_hetero	dia_app_nutrient	dia_app_elon	dia_app_hook	dia_app_flat	dia_app_ballo	dia_app_muci	dia_app_other	dia_app_no	dia_morph	dia_mass	dia_surfacestructure	dia_length	dia_width	dia_height	dia_shape	dia_form	vterm	rank_ane	rank_hydro	rank_epi_wool	diaspore_seeds_class
Apium repens (Jacq.) Lag.	Apiaceae	-	2	0	0	0	0.5	0	0.5	0	non-fleshy fruit	fruit segment	exposed	0	0	0	0	0	0	0	0	1	segm|7a|	0.1783	0.93	1.03	1	0.88	0	spherical	2.9	0.44	NA	0.79	1
Aposeris foetida (L.) Less.	Asteraceae	-	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit	covered partly	0	0	0	0	0	0	0	0	1	fruit|7a|	2.4	0.87	4.44	1.47	0.8	0.13	elongated	4.26	0.28	NA	0.44	1
Aquilegia einseleana F. W. Schultz	Ranunculaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	fruit with upright aperture	seed	covered partly	0	0	0	0	0	0	0	0	1	seed|7b|	NA	0.97	2.83	1.71	NA	NA	NA	2.59	0.45	NA	0.49	1
Aquilegia vulgaris L. s.l.	Ranunculaceae	-	3	0	0	0	0	1	0	0	fruit with upright aperture	seed	covered partly	0	0	0	0	0	0	0	0	1	seed|7b|	1.40895	0.99	2.16	1.33	NA	0.05	spherical	4.33	0.28	0.4	0.38	1
Aquilegia vulgaris ssp. atrata (W. D. J. Koch) Nyman	Ranunculaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	fruit with upright aperture	seed	covered partly	0	0	0	0	0	0	0	0	1	seed|7b|	1.2	1	2.11	1.25	NA	0.06	spherical	5.2	0.21	NA	0.39	1
Arabidopsis thaliana (L.) Heynh.	Brassicaceae	-	7	0	0	0.43	0	0.29	0	0.29	fruit with lateral aperture	seed	covered partly	0	0	0	0	0	0	1	0	0	seed|6|	0.024333	0.87	0.48	0.25	0.2	0.06	spherical	1.19	0.86	NA	0.78	1
Arabis alpina L. s.str.	Brassicaceae	-	8	0	0	0	0	0.13	0.5	0.38	fruit with lateral aperture	seed	covered partly	0	0	0	0	1	0	0	0	0	seed|3|	0.1428	0.95	1.26	1	0.36	0.09	spherical	1.59	0.69	0.66	0.48	1
Arabis auriculata Lam.	Brassicaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	fruit with lateral aperture	seed	covered partly	0	0	0	0	0	0	0	0	1	seed|7b|	NA	NA	0.8	0.8	0.2	0.13	flat	NA	NA	NA	NA	1
Arabis bellidifolia Crantz	Brassicaceae	-	2	0	0	0	0	0	1	0	fruit with lateral aperture	seed	covered partly	0	0	0	0	1	0	0	0	0	seed|3|	0.264	0.94	1.88	1.5	NA	NA	NA	2.38	0.54	NA	0.4	1
Arabis brassica (Leers) Rauschert	Brassicaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	fruit with lateral aperture	seed	covered partly	0	0	0	0	0	0	0	0	1	seed|7b|	NA	0.99	2.23	1.98	1	0.06	spherical	8.89	0.09	NA	NA	1
