"reported_name","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code","GrowthForm","DispersalSyndrome","SeedWeightmg","SeedReleaseHeightm","Database"
"Arabis hirsuta subsp. hirsuta","Arabis hirsuta","Arabis hirsuta","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:9202524","herb","wind (none)",0.14,0.8,"Tamme et al."
"Arenaria serpyllifolia","Arenaria serpyllifolia","Arenaria serpyllifolia","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:8089871","herb","wind (none)",0.07,0.3,"Tamme et al."
"Armeria maritima","Armeria maritima","Armeria maritima","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Plumbaginaceae","gbif","GBIF:8930531","herb","wind (special)",0.03,0.5,"Tamme et al."
"Arnica montana","Arnica montana","Arnica montana","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5405976","herb","wind (special)",1.67,0.5,"Tamme et al."
"Artemisia vulgaris","Artemisia vulgaris","Artemisia vulgaris","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120946","herb","wind (none)",0.17,2.5,"Tamme et al."
"Atriplex prostrata subsp. calotheca","Atriplex prostrata","Atriplex prostrata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","gbif","GBIF:3083786","herb","wind (none)",NA,1.5,"Tamme et al."
"Atriplex patula","Atriplex patula","Atriplex patula","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","gbif","GBIF:3083728","herb","wind (none)",1.43,1.5,"Tamme et al."
"Atriplex prostrata","Atriplex prostrata","Atriplex prostrata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","gbif","GBIF:3083786","herb","wind (special)",1.31,1,"Tamme et al."
"Barbarea vulgaris","Barbarea vulgaris","Barbarea vulgaris","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:5708780","herb","wind (none)",0.6,0.9,"Tamme et al."
"Bellis perennis","Bellis perennis","Bellis perennis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3117424","herb","wind (none)",0.13,0.15,"Tamme et al."
"Brassica nigra","Brassica nigra","Brassica nigra","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:3042658","herb","wind (none)",1.3,1.34,"Tamme et al."
"Brassica oleracea","Brassica oleracea","Brassica oleracea","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:3042845","herb","wind (none)",3.94,1.2,"Tamme et al."
"Brassica rapa","Brassica rapa","Brassica rapa","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:7903057","herb","wind (none)",2,1.02,"Tamme et al."
"Campanula rapunculoides","Campanula rapunculoides","Campanula rapunculoides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","gbif","GBIF:5410436","herb","wind (none)",0.13,0.8,"Tamme et al."
"Campanula rotundifolia","Campanula rotundifolia","Campanula rotundifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","gbif","GBIF:5410907","herb","wind (none)",0.06,0.48,"Tamme et al."
"Campanula trachelium","Campanula trachelium","Campanula trachelium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","gbif","GBIF:5412014","herb","wind (none)",0.21,1,"Tamme et al."
"Capsella bursa-pastoris","Capsella bursa-pastoris","Capsella bursa-pastoris","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:5375388","herb","wind (none)",0.1,0.7,"Tamme et al."
"Carduus crispus","Carduus crispus","Carduus crispus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3114649","herb","wind (special)",1.75,1.8,"Tamme et al."
"Carex extensa","Carex extensa","Carex extensa","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","gbif","GBIF:2726545","herb","wind (none)",1.15,0.3,"Tamme et al."
"Carex echinata","Carex echinata","Carex echinata","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","gbif","GBIF:2726894","herb","wind (none)",0.86,0.4,"Tamme et al."
"Carex remota","Carex remota","Carex remota","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","gbif","GBIF:2727294","herb","wind (none)",0.48,0.6,"Tamme et al."
"Carlina vulgaris","Carlina vulgaris","Carlina vulgaris","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3105380","herb","wind (special)",1.4,0.6,"Tamme et al."
"Centaurea cyanus","Centaurea cyanus","Centaurea cyanus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3089561","herb","wind (special)",4.1,1.01,"Tamme et al."
"Centaurea scabiosa","Centaurea scabiosa","Centaurea scabiosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:8087525","herb","wind (special)",6.5,1.5,"Tamme et al."
"Cephalanthera damasonium","Cephalanthera damasonium","Cephalanthera damasonium","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","gbif","GBIF:2795952","herb","wind (special)",NA,0.6,"Tamme et al."
"Cerastium fontanum subsp. vulgare","Cerastium fontanum","Cerastium fontanum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:3085458","herb","wind (none)",NA,0.6,"Tamme et al."
