"scientificName","kingdom","phylum","class","order","family","db","BodySize","Database","Code","Unit","Field"
"Hirundo rustica","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","gbif",11.7,"AVONET","BodySize","mm","TarsusLength"
"Petrochelidon fulva","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","gbif",12.5,"AVONET","BodySize","mm","TarsusLength"
"Progne subis","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","gbif",15,"AVONET","BodySize","mm","TarsusLength"
"Riparia riparia","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","gbif",10.5,"AVONET","BodySize","mm","TarsusLength"
"Tachycineta bicolor","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","gbif",12.2,"AVONET","BodySize","mm","TarsusLength"
"Molothrus ater","Animalia","Chordata","Aves","Passeriformes","Icteridae","gbif",24.7,"AVONET","BodySize","mm","TarsusLength"
"Quiscalus major","Animalia","Chordata","Aves","Passeriformes","Icteridae","gbif",42.8,"AVONET","BodySize","mm","TarsusLength"
"Lanius ludovicianus","Animalia","Chordata","Aves","Passeriformes","Laniidae","gbif",27.7,"AVONET","BodySize","mm","TarsusLength"
"Malurus splendens","Animalia","Chordata","Aves","Passeriformes","Maluridae","gbif",22.1,"AVONET","BodySize","mm","TarsusLength"
"Toxostoma curvirostre","Animalia","Chordata","Aves","Passeriformes","Mimidae","gbif",32.4,"AVONET","BodySize","mm","TarsusLength"
"Motacilla alba","Animalia","Chordata","Aves","Passeriformes","Motacillidae","gbif",23.4,"AVONET","BodySize","mm","TarsusLength"
"Motacilla cinerea","Animalia","Chordata","Aves","Passeriformes","Motacillidae","gbif",18.2,"AVONET","BodySize","mm","TarsusLength"
"Motacilla flava","Animalia","Chordata","Aves","Passeriformes","Motacillidae","gbif",23.1,"AVONET","BodySize","mm","TarsusLength"
"Erithacus rubecula","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","gbif",24.5,"AVONET","BodySize","mm","TarsusLength"
"Ficedula hypoleuca","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","gbif",17.6,"AVONET","BodySize","mm","TarsusLength"
"Muscicapa striata","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","gbif",14.4,"AVONET","BodySize","mm","TarsusLength"
"Oenanthe oenanthe","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","gbif",27.3,"AVONET","BodySize","mm","TarsusLength"
"Phoenicurus phoenicurus","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","gbif",21.6,"AVONET","BodySize","mm","TarsusLength"
"Cyanistes caeruleus","Animalia","Chordata","Aves","Passeriformes","Paridae","gbif",15.2,"AVONET","BodySize","mm","TarsusLength"
"Parus afer","Animalia","Chordata","Aves","Passeriformes","Paridae","gbif",19.3,"AVONET","BodySize","mm","TarsusLength"
"Parus major","Animalia","Chordata","Aves","Passeriformes","Paridae","gbif",17.4,"AVONET","BodySize","mm","TarsusLength"
"Periparus ater","Animalia","Chordata","Aves","Passeriformes","Paridae","gbif",15.1,"AVONET","BodySize","mm","TarsusLength"
"Poecile atricapillus","Animalia","Chordata","Aves","Passeriformes","Paridae","gbif",16.8,"AVONET","BodySize","mm","TarsusLength"
"Poecile palustris","Animalia","Chordata","Aves","Passeriformes","Paridae","gbif",15.9,"AVONET","BodySize","mm","TarsusLength"
"Parkesia motacilla","Animalia","Chordata","Aves","Passeriformes","Parulidae","gbif",22.3,"AVONET","BodySize","mm","TarsusLength"
"Melospiza melodia","Animalia","Chordata","Aves","Passeriformes","Passerellidae","gbif",21.5,"AVONET","BodySize","mm","TarsusLength"
"Passerculus sandwichensis","Animalia","Chordata","Aves","Passeriformes","Passerellidae","gbif",20.7,"AVONET","BodySize","mm","TarsusLength"
"Zonotrichia leucophrys","Animalia","Chordata","Aves","Passeriformes","Passerellidae","gbif",22.8,"AVONET","BodySize","mm","TarsusLength"
"Passer domesticus","Animalia","Chordata","Aves","Passeriformes","Passeridae","gbif",17.9,"AVONET","BodySize","mm","TarsusLength"
"Passer montanus","Animalia","Chordata","Aves","Passeriformes","Passeridae","gbif",16.4,"AVONET","BodySize","mm","TarsusLength"
"Phylloscopus trochilus","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","gbif",19.3,"AVONET","BodySize","mm","TarsusLength"
"Prunella modularis","Animalia","Chordata","Aves","Passeriformes","Prunellidae","gbif",20.4,"AVONET","BodySize","mm","TarsusLength"
"Sitta europaea","Animalia","Chordata","Aves","Passeriformes","Sittidae","gbif",20.2,"AVONET","BodySize","mm","TarsusLength"
"Sitta pusilla","Animalia","Chordata","Aves","Passeriformes","Sittidae","gbif",14.8,"AVONET","BodySize","mm","TarsusLength"
"Sturnus vulgaris","Animalia","Chordata","Aves","Passeriformes","Sturnidae","gbif",29,"AVONET","BodySize","mm","TarsusLength"
"Sylvia atricapilla","Animalia","Chordata","Aves","Passeriformes","Sylviidae","gbif",20.8,"AVONET","BodySize","mm","TarsusLength"
"Sylvia communis","Animalia","Chordata","Aves","Passeriformes","Sylviidae","gbif",21.3,"AVONET","BodySize","mm","TarsusLength"
"Sylvia curruca","Animalia","Chordata","Aves","Passeriformes","Sylviidae","gbif",19.1,"AVONET","BodySize","mm","TarsusLength"
"Campylorhynchus brunneicapillus","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","gbif",26.2,"AVONET","BodySize","mm","TarsusLength"
"Troglodytes aedon","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","gbif",20.1,"AVONET","BodySize","mm","TarsusLength"
"Troglodytes troglodytes","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","gbif",17.6,"AVONET","BodySize","mm","TarsusLength"
"Hylocichla mustelina","Animalia","Chordata","Aves","Passeriformes","Turdidae","gbif",32.1,"AVONET","BodySize","mm","TarsusLength"
"Sialia currucoides","Animalia","Chordata","Aves","Passeriformes","Turdidae","gbif",21.9,"AVONET","BodySize","mm","TarsusLength"
"Sialia mexicana","Animalia","Chordata","Aves","Passeriformes","Turdidae","gbif",19.8,"AVONET","BodySize","mm","TarsusLength"
"Sialia sialis","Animalia","Chordata","Aves","Passeriformes","Turdidae","gbif",19.7,"AVONET","BodySize","mm","TarsusLength"
"Turdus merula","Animalia","Chordata","Aves","Passeriformes","Turdidae","gbif",33.6,"AVONET","BodySize","mm","TarsusLength"
"Turdus philomelos","Animalia","Chordata","Aves","Passeriformes","Turdidae","gbif",31.8,"AVONET","BodySize","mm","TarsusLength"
"Turdus viscivorus","Animalia","Chordata","Aves","Passeriformes","Turdidae","gbif",32.7,"AVONET","BodySize","mm","TarsusLength"
"Myiarchus cinerascens","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","gbif",22.4,"AVONET","BodySize","mm","TarsusLength"
"Sayornis nigricans","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","gbif",17.4,"AVONET","BodySize","mm","TarsusLength"
"Vireo atricapilla","Animalia","Chordata","Aves","Passeriformes","Vireonidae","gbif",19.8,"AVONET","BodySize","mm","TarsusLength"
"Vireo griseus","Animalia","Chordata","Aves","Passeriformes","Vireonidae","gbif",19.5,"AVONET","BodySize","mm","TarsusLength"
"Ardea alba","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","gbif",141.6,"AVONET","BodySize","mm","TarsusLength"
