"reported_name","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code","ObservationTypeSpecific","Source","Field","DispersalDistance","Code","Unit","Database","Sex"
"Hypochoeris radicata","Hypochoeris radicata","Hypochoeris radicata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:7605771","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","1900","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Juncus bufonius","Juncus bufonius","Juncus bufonius","Plantae","Tracheophyta","Liliopsida","Poales","Juncaceae","gbif","GBIF:6413649","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","100","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Leontodon autumnalis","Leontodon autumnalis","Leontodon autumnalis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:8058115","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","610","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Linum catharticum","Linum catharticum","Linum catharticum","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Linaceae","gbif","GBIF:2873865","seed dispersal (field)","Verkaar et al. 1983","Maximum_recorded_dispersal_distance_(m)","0.63","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Plantago major","Plantago major","Plantago major","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","gbif","GBIF:3189767","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","38","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Poa annua","Poa annua","Poa annua","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2704179","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","180","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Poa pratensis","Poa pratensis","Poa pratensis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2704178","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","25","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Ranunculus sceleratus","Ranunculus sceleratus","Ranunculus sceleratus","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","gbif","GBIF:3033374","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","35","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Salicornia europaea","Salicornia europaea","Salicornia europaea","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","gbif","GBIF:12239479","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","36","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Salix alba","Salix alba","Salix alba","Animalia","Chordata","Ascidiacea","Aplousobranchia","Polycitoridae","gbif","GBIF:7882712","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","6500","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Scabiosa columbaria","Scabiosa columbaria","Scabiosa columbaria","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","gbif","GBIF:2888802","seed dispersal (field)","Verkaar et al. 1983","Maximum_recorded_dispersal_distance_(m)","1.9","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Senecio vulgaris","Senecio vulgaris","Senecio vulgaris","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3108983","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","1200","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Sonchus arvensis","Sonchus arvensis","Sonchus arvensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3105813","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","1100","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Spergularia marina","Spergularia marina","Spergularia marina","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:7736551","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","340","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Spergularia media","Spergularia media","Spergularia media","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:7570897","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","130","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Suaeda maritima","Suaeda maritima","Suaeda maritima","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","gbif","GBIF:3083541","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","380","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Taraxacum officinale","Taraxacum officinale","Taraxacum officinale","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5394163","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","620","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Tragopogon pratensis","Tragopogon pratensis","Tragopogon pratensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5386897","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","1900","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Tripolium pannonicum subsp. tripolium","Tripolium pannonicum","Tripolium pannonicum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3098616","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","1500","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Typha latifolia","Typha latifolia","Typha latifolia","Plantae","Tracheophyta","Liliopsida","Poales","Typhaceae","gbif","GBIF:5289423","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","5400","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Ulmus procera","Ulmus procera","Ulmus procera","Plantae","Tracheophyta","Magnoliopsida","Rosales","Ulmaceae","gbif","GBIF:7634307","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)","330","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Mercurialis annua","Mercurialis annua","Mercurialis annua","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","gbif","GBIF:3062975","seed dispersal (field)","Lisci & Pacini 1997 in Ness et al. 2004","Maximum_recorded_dispersal_distance_(m)","14","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Coronilla minima","Coronilla minima","Coronilla minima","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:5348647","seed dispersal (field)","Arnan et al. 2011","Maximum_recorded_dispersal_distance_(m)","1.5","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Dorycnium pentaphyllum","Dorycnium pentaphyllum","Lotus dorycnium","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:5632022","seed dispersal (field)","Arnan et al. 2011","Maximum_recorded_dispersal_distance_(m)","10.5","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Euphorbia characias","Euphorbia characias","Euphorbia characias","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","gbif","GBIF:3067353","seed dispersal (field)","Gómez & Espadaler 1998","Maximum_recorded_dispersal_distance_(m)","9.4","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Geranium purpureum","Geranium purpureum","Geranium purpureum","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","gbif","GBIF:2890541","seed dispersal (field)","Herrera 1991","Maximum_recorded_dispersal_distance_(m)","1.6","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Quercus ilex","Quercus ilex","Quercus ilex","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","gbif","GBIF:2879098","seed dispersal (field)","Pons & Pausas 2007","Maximum_recorded_dispersal_distance_(m)","545.5","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Quercus suber","Quercus suber","Quercus suber","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","gbif","GBIF:2879411","seed dispersal (field)","Pons & Pausas 2007","Maximum_recorded_dispersal_distance_(m)","545.5","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Rhamnus alaternus","Rhamnus alaternus","Rhamnus alaternus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","gbif","GBIF:6371424","seed dispersal (field)","Gómez et al. 2003","Maximum_recorded_dispersal_distance_(m)","25","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Aegopodium podagraria","Aegopodium podagraria","Aegopodium podagraria","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3034620","seed dispersal (model)","Jongejans & Telenius 2001","Maximum_recorded_dispersal_distance_(m)","1","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Aethusa cynapium","Aethusa cynapium","Aethusa cynapium","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:5371825","seed dispersal (model)","Jongejans & Telenius 2001","Maximum_recorded_dispersal_distance_(m)","2","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Agrimonia eupatoria","Agrimonia eupatoria","Agrimonia eupatoria","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:3001956","seed dispersal (model)","Kivieniemi 1996 in Kiviniemi & Telenius 1998","Maximum_recorded_dispersal_distance_(m)","932","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Angelica sylvestris","Angelica sylvestris","Angelica sylvestris","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:5371818","seed dispersal (model)","Jongejans & Telenius 2001","Maximum_recorded_dispersal_distance_(m)","3.8","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Anthriscus sylvestris","Anthriscus sylvestris","Anthriscus sylvestris","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:5371742","seed dispersal (model)","Kivieniemi & Eriksson (unpubl.) in Kiviniemi & Telenius 1998","Maximum_recorded_dispersal_distance_(m)","120","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Calestania palustris","Calestania palustris","Thysselinum palustre","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3634395","seed dispersal (model)","Jongejans & Telenius 2001","Maximum_recorded_dispersal_distance_(m)","2.3","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Carum carvi","Carum carvi","Carum carvi","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3034714","seed dispersal (model)","Kivieniemi & Eriksson (unpubl.) in Kiviniemi & Telenius 1998","Maximum_recorded_dispersal_distance_(m)","120","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Daucus carota","Daucus carota","Daucus carota","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3034742","seed dispersal (model)","Kiviniemi & Telenius 1998","Maximum_recorded_dispersal_distance_(m)","17","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Filipendula vulgaris","Filipendula vulgaris","Filipendula vulgaris","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:2988069","seed dispersal (model)","Kivieniemi & Eriksson (unpubl.) in Kiviniemi & Telenius 1998","Maximum_recorded_dispersal_distance_(m)","240","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Geum rivale","Geum rivale","Geum rivale","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:5369701","seed dispersal (model)","Kivieniemi 1996 in Kiviniemi & Telenius 1998","Maximum_recorded_dispersal_distance_(m)","1242","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Heracleum sphondylium","Heracleum sphondylium","Heracleum sphondylium","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3034830","seed dispersal (model)","Jongejans & Telenius 2001","Maximum_recorded_dispersal_distance_(m)","6.2","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Laserpitium latifolium","Laserpitium latifolium","Laserpitium latifolium","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:6026401","seed dispersal (model)","Jongejans & Telenius 2001","Maximum_recorded_dispersal_distance_(m)","2.8","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Myrrhis odorata","Myrrhis odorata","Myrrhis odorata","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3034681","seed dispersal (model)","Jongejans & Telenius 2001","Maximum_recorded_dispersal_distance_(m)","2","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Oxalis acetosella","Oxalis acetosella","Oxalis acetosella","Plantae","Tracheophyta","Magnoliopsida","Oxalidales","Oxalidaceae","gbif","GBIF:8211958","seed dispersal (field)","Berg 2000","Maximum_recorded_dispersal_distance_(m)","4.52","MaxDispersalDistance","m","Tamme et al. 2014",NA
"Pastinaca sativa","Pastinaca sativa","Pastinaca sativa","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:8262702","seed dispersal (model)","Jongejans & Telenius 2001","Maximum_recorded_dispersal_distance_(m)","13.9","MaxDispersalDistance","m","Tamme et al. 2014",NA
