"reported_name","reported_name_fixed","scientificName","scientificName_checked","kingdom","phylum","class","order","family","db","db_code","Unit","AgeAtMaturity","Field","Source","Database","Code","Sex","GenerationLength"
"Campanula rotundifolia","Campanula rotundifolia","Campanula rotundifolia","Campanula rotundifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","gbif","GBIF:5410907","weeks","24","Age at first flowering","Fitter, A. H. and H. J. Peat 1994. The Ecological Flora Database. Journal of Ecology 82:415-425.","TRY","AgeAtMaturity",NA,NA
"Capsella bursa-pastoris","Capsella bursa-pastoris","Capsella bursa-pastoris","Capsella bursa-pastoris","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:5375388","weeks","6","Age at first flowering","Fitter, A. H. and H. J. Peat 1994. The Ecological Flora Database. Journal of Ecology 82:415-425.","TRY","AgeAtMaturity",NA,NA
"Carlina vulgaris","Carlina vulgaris","Carlina vulgaris","Carlina vulgaris","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3105380","yrs","1","Age at first flowering","Fitter, A. H. and H. J. Peat 1994. The Ecological Flora Database. Journal of Ecology 82:415-425.","TRY","AgeAtMaturity",NA,NA
"Carpinus betulus","Carpinus betulus","Carpinus betulus","Carpinus betulus","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:2875818","yrs","20","Age at first flowering","Fitter, A. H. and H. J. Peat 1994. The Ecological Flora Database. Journal of Ecology 82:415-425.","TRY","AgeAtMaturity",NA,NA
"Cephalanthera damasonium","Cephalanthera damasonium","Cephalanthera damasonium","Cephalanthera damasonium","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","gbif","GBIF:2795952","yrs","5","Age at first flowering","Fitter, A. H. and H. J. Peat 1994. The Ecological Flora Database. Journal of Ecology 82:415-425.","TRY","AgeAtMaturity",NA,NA
"Cerastium fontanum","Cerastium fontanum","Cerastium fontanum","Cerastium fontanum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:3085458","weeks","6","Age at first flowering","Fitter, A. H. and H. J. Peat 1994. The Ecological Flora Database. Journal of Ecology 82:415-425.","TRY","AgeAtMaturity",NA,NA
"Cirsium palustre","Cirsium palustre","Cirsium palustre","Cirsium palustre","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3113239","yrs","1","Age at first flowering","Fitter, A. H. and H. J. Peat 1994. The Ecological Flora Database. Journal of Ecology 82:415-425.","TRY","AgeAtMaturity",NA,NA
"Cirsium vulgare","Cirsium vulgare","Cirsium vulgare","Cirsium vulgare","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3112801","yrs","2","Age at first flowering","Fitter, A. H. and H. J. Peat 1994. The Ecological Flora Database. Journal of Ecology 82:415-425.","TRY","AgeAtMaturity",NA,NA
"Crepis capillaris","Crepis capillaris","Crepis capillaris","Crepis capillaris","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5403304","weeks","24","Age at first flowering","Fitter, A. H. and H. J. Peat 1994. The Ecological Flora Database. Journal of Ecology 82:415-425.","TRY","AgeAtMaturity",NA,NA
"Daucus carota","Daucus carota","Daucus carota","Daucus carota","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3034742","yrs","1","Age at first flowering","Fitter, A. H. and H. J. Peat 1994. The Ecological Flora Database. Journal of Ecology 82:415-425.","TRY","AgeAtMaturity",NA,NA
"Daucus carota","Daucus carota","Daucus carota","Daucus carota","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3034742","weeks","6","Age at first flowering","Fitter, A. H. and H. J. Peat 1994. The Ecological Flora Database. Journal of Ecology 82:415-425.","TRY","AgeAtMaturity",NA,NA
"Digitalis purpurea","Digitalis purpurea","Digitalis purpurea","Digitalis purpurea","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","gbif","GBIF:5414995","yrs","1","Age at first flowering","Fitter, A. H. and H. J. Peat 1994. The Ecological Flora Database. Journal of Ecology 82:415-425.","TRY","AgeAtMaturity",NA,NA
