"reported_name","m","sd","med","q025","q975","n","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code"
"Actaea spicata",39.9814814814815,19.1474448393159,30,20,80,27,"Actaea spicata","Actaea spicata","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","gbif","GBIF:5371473"
"Adenocaulon bicolor",40,NA,40,40,40,1,"Adenocaulon bicolor","Adenocaulon bicolor","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3092979"
"Adenophyllum porophylloides",35,NA,35,35,35,1,"Adenophyllum porophylloides","Adenophyllum porophylloides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3132271"
"Adenostoma fasciculatum",290.31,65.8049125391541,282.4,196.376,391.25,8,"Adenostoma fasciculatum","Adenostoma fasciculatum","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:3030227"
"Adenostoma sparsifolium",540,0,540,540,540,2,"Adenostoma sparsifolium","Adenostoma sparsifolium","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:3030225"
"Adenostyles alliariae",73.953125,26.5087810694932,71.5,40,125.75,32,"Adenostyles alliariae","Adenostyles alliariae","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3133702"
"Adenostyles leucophylla",32.7931034482759,7.55162853933237,33.5,17.6,43.15,29,"Adenostyles leucophylla","Adenostyles leucophylla","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3133716"
"Adiantum capillus-veneris",29.727,15.3592300030214,30,6.7,49.7482,8,"Adiantum capillus-veneris","Adiantum capillus-veneris","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","gbif","GBIF:2651816"
"Adiantum pedatum",33.906,4.0658755514649,33,30.225,39.1272,4,"Adiantum pedatum","Adiantum pedatum","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","gbif","GBIF:2651832"
"Adoxa moschatellina",7.5,3.15348132140408,5,5,13.65,19,"Adoxa moschatellina","Adoxa moschatellina","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Viburnaceae","gbif","GBIF:2888794"
"Aegilops triuncialis",40,14.142135623731,40,30.5,49.5,2,"Aegilops triuncialis","Aegilops triuncialis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:5289793"
"Aesculus californica",1015.31428571429,283.640120743237,914.4,700,1406.88,7,"Aesculus californica","Aesculus californica","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189813"
"Aethusa cynapium",58.59375,48.5795631756126,61.25,5,120,16,"Aethusa cynapium","Aethusa cynapium","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:5371825"
"Agastache parvifolia",60.96,NA,60.96,60.96,60.96,1,"Agastache parvifolia","Agastache parvifolia","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","gbif","GBIF:2926409"
"Agastache urticifolia",152.4,0,152.4,152.4,152.4,2,"Agastache urticifolia","Agastache urticifolia","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","gbif","GBIF:2926403"
"Agave deserti",100,0,100,100,100,3,"Agave deserti","Agave deserti","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","gbif","GBIF:2767087"
"Agave utahensis",30.48,0,30.48,30.48,30.48,2,"Agave utahensis","Agave utahensis","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","gbif","GBIF:2766587"
"Ageratina adenophora",80,NA,80,80,80,1,"Ageratina adenophora","Ageratina adenophora","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5400613"
"Ageratina altissima",51.5,23.5788366647199,49.5,15.85,87.4,14,"Ageratina altissima","Ageratina altissima","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5400552"
"Agoseris aurantiaca",20.98,13.4350288425444,20.98,11.955,30.005,2,"Agoseris aurantiaca","Agoseris aurantiaca","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3092928"
"Agoseris grandiflora",54.864,NA,54.864,54.864,54.864,1,"Agoseris grandiflora","Agoseris grandiflora","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3092909"
"Agrimonia eupatoria",54.0793103448276,29.7495543701359,60,17,122,29,"Agrimonia eupatoria","Agrimonia eupatoria","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:3001956"
"Agrimonia gryposepala",179.832,2.8421709430404e-14,179.832,179.832,179.832,2,"Agrimonia gryposepala","Agrimonia gryposepala","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:3002117"
"Agrimonia procera",113,54.0370243444252,100,45.5,177,5,"Agrimonia procera","Agrimonia procera","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:3002121"
"Agropyron cristatum",38.2055172413793,12.6593510288998,39,20.84,63.672,29,"Agropyron cristatum","Agropyron cristatum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2705196"
"Agrostis alpina",12.5,10.4450945424156,8.5,3.25,28.75,6,"Agrostis alpina","Agrostis alpina","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:8279707"
"Agrostis capillaris",34.744117508965,18.8546633336228,35,5.95,75,98,"Agrostis capillaris","Agrostis capillaris","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2706490"
"Agrostis curtisii",51.25,20.3100960115899,60,20,70,8,"Agrostis curtisii","Alpagrostis setacea","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:10762826"
"Agrostis exarata",91.44,NA,91.44,91.44,91.44,1,"Agrostis exarata","Agrostis exarata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2706526"
"Agrostis gigantea",78.2026086956522,37.2276824196715,70,14.51,139,23,"Agrostis gigantea","Agrostis gigantea","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2706541"
"Agrostis idahoensis",42.672,NA,42.672,42.672,42.672,1,"Agrostis idahoensis","Agrostis idahoensis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2706506"
"Agrostis mertensii",10.0866666666667,7.52275497568826,5.505,2.1,20,12,"Agrostis mertensii","Agrostis mertensii","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2706518"
"Agrostis pallens",60.96,NA,60.96,60.96,60.96,1,"Agrostis pallens","Agrostis pallens","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2706473"
"Agrostis rupestris",8,6.9065186599328,5,2.1875,19.0625,6,"Agrostis rupestris","Agrostis rupestris","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2706525"
"Agrostis scabra",1333.84583333333,855.197134414234,1560,50.1025,2247.5,8,"Agrostis scabra","Agrostis scabra","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2706444"
"Agrostis stolonifera",51.0075555555556,35.8957187340544,40,8.7,135,45,"Agrostis stolonifera","Agrostis stolonifera","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2706435"
"Aira caryophyllea",13.0167682926829,12.2463245792858,8,5,50,41,"Aira caryophyllea","Aira caryophyllea","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:7747216"
"Aira elegans",21.6666666666667,9.83192080250175,25,10,30,6,"Aira elegans","Aira elegans","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:7948459"
"Aira praecox",12.6842105263158,15.4714885859224,10,2,49.75,19,"Aira praecox","Aira praecox","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:5289582"
"Ajuga pyramidalis",16.3636363636364,8.58734092967225,15,5,30,22,"Ajuga pyramidalis","Ajuga pyramidalis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","gbif","GBIF:8429926"
"Ajuga reptans",9.57023529411765,7.45147069698653,7,2,30,102,"Ajuga reptans","Ajuga reptans","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","gbif","GBIF:2927078"
"Alchemilla alpina",11.1952941176471,5.39922173701163,10,5,21.75,34,"Alchemilla alpina","Alchemilla alpina","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:3027648"
"Alchemilla filicaulis",17.5,14.5236875482778,5,5,40,17,"Alchemilla filicaulis","Alchemilla filicaulis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:3027485"
"Alchemilla pentaphyllea",8,5.29150262212918,7,3.15,14.55,4,"Alchemilla pentaphyllea","Alchemilla pentaphyllea","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:3028493"
"Alchemilla vulgaris",5,NA,5,5,5,1,"Alchemilla vulgaris","Alchemilla vulgaris","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:7890713"
"Alhagi maurorum",60,NA,60,60,60,1,"Alhagi maurorum","Alhagi maurorum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2945092"
"Alisma lanceolatum",58.0555555555556,39.1267527118949,40,16,116,9,"Alisma lanceolatum","Alisma lanceolatum","Plantae","Tracheophyta","Liliopsida","Alismatales","Alismataceae","gbif","GBIF:2865125"
"Alisma plantago-aquatica",67.596,42.9528274140032,65,16.75,145.5,15,"Alisma plantago-aquatica","Alisma plantago-aquatica","Plantae","Tracheophyta","Liliopsida","Alismatales","Alismataceae","gbif","GBIF:2865100"
"Allardia tridactylites",3,NA,3,3,3,1,"Allardia tridactylites","Allardia tridactylites","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5406270"
"Alliaria petiolata",52.5847826086957,36.0599483019804,45,14.1,120,23,"Alliaria petiolata","Alliaria petiolata","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:5376075"
"Allium acuminatum",30.48,NA,30.48,30.48,30.48,1,"Allium acuminatum","Allium acuminatum","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","gbif","GBIF:2856154"
"Allium oleraceum",50.09375,26.0039860726518,48,16.875,92.5,16,"Allium oleraceum","Allium oleraceum","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","gbif","GBIF:2857071"
"Allium schoenoprasum",33.8125,11.6788626729375,33.25,15,50,16,"Allium schoenoprasum","Allium schoenoprasum","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","gbif","GBIF:2855860"
"Allium scorodoprasum",42.7380952380952,20.0609553110192,37.5,20.1,99.5,42,"Allium scorodoprasum","Allium scorodoprasum","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","gbif","GBIF:9177060"
"Allium ursinum",29.2666666666667,12.2545424036889,27.5,11.75,48.25,15,"Allium ursinum","Allium ursinum","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","gbif","GBIF:2857601"
"Allium validum",60.96,NA,60.96,60.96,60.96,1,"Allium validum","Allium validum","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","gbif","GBIF:2857382"
"Allium victorialis",33.758064516129,9.69696771138787,32,19.5,58.5,31,"Allium victorialis","Allium victorialis","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","gbif","GBIF:2857132"
"Allium vineale",52.3333333333333,26.3131326979695,50,16.75,93,15,"Allium vineale","Allium vineale","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","gbif","GBIF:7792960"
"Alnus alnobetula",338.716744186047,268.514492225573,300,5.125,1005.11,86,"Alnus alnobetula","Alnus alnobetula","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:8956987"
"Alnus glutinosa",2211.97183098592,1014.5699583262,2325,281,3500,71,"Alnus glutinosa","Alnus glutinosa","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:2876213"
"Alnus incana",1357.00298507463,821.181543706559,1000,232.5,3000,67,"Alnus incana","Alnus incana","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:9148577"
"Alnus rhombifolia",2374.512,833.603016610939,2286,1110,3500,15,"Alnus rhombifolia","Alnus rhombifolia","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:2876207"
"Alnus rubra",3134.6,740.624197376193,3000,1797.7,4008.5,24,"Alnus rubra","Alnus rubra","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:2876176"
"Alopecurus aequalis",32.5777777777778,21.9078626169794,40,8.4,69.96,9,"Alopecurus aequalis","Alopecurus aequalis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:5290083"
"Alopecurus bulbosus",37.15,19.9193512835021,32,12.25,73.25,10,"Alopecurus bulbosus","Alopecurus bulbosus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:5672393"
"Alopecurus geniculatus",32.0875757575,15.6643713575891,31.25,11.375,57.946,12,"Alopecurus geniculatus","Alopecurus geniculatus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:5290090"
"Alopecurus pratensis",25.9130509412791,25.1388778558663,16.75,3,100,172,"Alopecurus pratensis","Alopecurus pratensis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:5290081"
"Aloysia wrightii",225,NA,225,225,225,1,"Aloysia wrightii","Aloysia wrightii","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","gbif","GBIF:5341160"
"Althaea officinalis",83.4523809523809,34.6554125505327,80,31.5,150,21,"Althaea officinalis","Althaea officinalis","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","gbif","GBIF:3152520"
"Amaranthus albus",39,20.2484567313166,40,10,67.75,10,"Amaranthus albus","Amaranthus albus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","gbif","GBIF:7905507"
"Amaranthus blitoides",57.9166666666667,35.0862033663756,50,17.1875,100,6,"Amaranthus blitoides","Amaranthus blitoides","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","gbif","GBIF:5384395"
"Amaranthus blitum",48.0555555555556,23.3779335651759,42.5,20,80,9,"Amaranthus blitum","Amaranthus blitum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","gbif","GBIF:8911082"
"Amaranthus californicus",30.48,NA,30.48,30.48,30.48,1,"Amaranthus californicus","Amaranthus californicus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","gbif","GBIF:5384387"
"Amaranthus deflexus",42,22.5092573548455,40,12.25,83.25,10,"Amaranthus deflexus","Amaranthus deflexus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","gbif","GBIF:5384396"
"Amaranthus palmeri",100,NA,100,100,100,1,"Amaranthus palmeri","Amaranthus palmeri","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","gbif","GBIF:5384393"
"Amaranthus powellii",65.2272727272727,36.1326470358619,60,12.5,100,11,"Amaranthus powellii","Amaranthus powellii","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","gbif","GBIF:5384359"
"Amaranthus retroflexus",84.6851851851852,68.9276583076205,60,9.55,200,27,"Amaranthus retroflexus","Amaranthus retroflexus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","gbif","GBIF:6109534"
"Ambrosia artemisiifolia",52.7699618320611,24.6890956816052,50.3,22,123.75,131,"Ambrosia artemisiifolia","Ambrosia artemisiifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:8002952"
"Ambrosia dumosa",47.9009523809524,23.5369041942142,40,10,90,21,"Ambrosia dumosa","Ambrosia dumosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3110634"
"Ambrosia eriocentra",76.6666666666667,39.0512483795333,80,30,120,9,"Ambrosia eriocentra","Ambrosia eriocentra","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3110691"
"Ambrosia monogyra",217.466666666667,154.546795847299,171.92,65.84,400,6,"Ambrosia monogyra","Ambrosia monogyra","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3110726"
