"reported_name","Original","Genus","Family","Order","Dispersal_syndrome","Growth_form","Seed_weight_(mg)","Seed_release_height_(m)","Seed_terminal_velocity_(m/s)","Maximum_recorded_dispersal_distance_(m)","99th_percentile_dispersal_distance_(m)","90th_percentile_dispersal_distance_(m)","Mean_dispersal_distance_(m)","Mode_dispersal_distance_(m)","Median_dispersal_distance_(m)","Maximum_dispersal_distance_(m)","Calculated_maximum_dispersal_distance_(m)","Maximum_dispersal_distance_analysis_(m)","Data_type","Region","Reference","genus","species","subspecies","genus_species","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code"
"Crotalaria rotundifolia",NA,"Crotalaria","Fabaceae","Fabales","ballistic","herb",3.4,NA,NA,2.39,NA,NA,0.94,NA,NA,2.39,NA,2.39,"field","temperate","Stamp & Lucas 1990","Crotalaria","rotundifolia",NA,"Crotalaria rotundifolia","Crotalaria rotundifolia","Crotalaria rotundifolia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2942940"
"Dendromecon rigida",NA,"Dendromecon","Papaveraceae","Ranunculales","ant","shrub",10.3,NA,NA,0.06,NA,NA,NA,NA,NA,0.06,NA,0.06,"field","temperate","Carney et al. 2003","Dendromecon","rigida",NA,"Dendromecon rigida","Dendromecon rigida","Dendromecon rigida","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","gbif","GBIF:2888424"
"Heterotheca subaxillaris subsp. latifolia","Heterotheca latifolia","Heterotheca","Asteraceae","Asterales","wind (none)","herb",0.73,NA,NA,11,NA,NA,0.93,NA,NA,11,NA,11,"field","temperate","Venable & Levin 1985","Heterotheca","subaxillaris","subsp. latifolia","Heterotheca subaxillaris","Heterotheca subaxillaris","Heterotheca subaxillaris","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5401971"
"Lophion rostratum","Viola rostrata","Lophion","Violaceae","Malpighiales","ant","herb",NA,NA,NA,1.25,NA,NA,0.72,NA,NA,1.25,NA,1.25,"field","temperate","Culver & Beattie 1978","Lophion","rostratum",NA,"Lophion rostratum","Lophion rostratum","Viola rostrata","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Violaceae","gbif","GBIF:5331225"
"Pinus strobus",NA,"Pinus","Pinaceae","Pinales","animal","tree",17,40,NA,30,NA,NA,NA,NA,NA,30,NA,30,"field","temperate","Abbott & Quink 1970","Pinus","strobus",NA,"Pinus strobus","Pinus strobus","Pinus strobus","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5284982"
"Pinus contorta",NA,"Pinus","Pinaceae","Pinales","animal","tree",9.1,NA,NA,NA,NA,NA,25.7,NA,NA,NA,152.1858,152.1858,"model","temperate","Vander Wall 2003","Pinus","contorta",NA,"Pinus contorta","Pinus contorta","Pinus contorta","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5285750"
"Pinus jeffreyi",NA,"Pinus","Pinaceae","Pinales","wind (special)","tree",195.3,NA,NA,NA,NA,NA,16.7,NA,NA,NA,99.5756,99.5756,"model","temperate","Vander Wall 2003","Pinus","jeffreyi",NA,"Pinus jeffreyi","Pinus jeffreyi","Pinus jeffreyi","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:8892957"
"Pinus lambertiana",NA,"Pinus","Pinaceae","Pinales","wind (special)","tree",233.4,NA,NA,NA,NA,NA,13.4,NA,NA,NA,80.1809,80.1809,"model","temperate","Vander Wall 2003","Pinus","lambertiana",NA,"Pinus lambertiana","Pinus lambertiana","Pinus lambertiana","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5284989"
"Pinus ponderosa",NA,"Pinus","Pinaceae","Pinales","wind (special)","tree",68.7,NA,NA,NA,NA,NA,25.6,NA,NA,NA,151.6031,151.6031,"model","temperate","Vander Wall 2003","Pinus","ponderosa",NA,"Pinus ponderosa","Pinus ponderosa","Pinus ponderosa","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5285053"
"Senecio jacobaea",NA,"Senecio","Asteraceae","Asterales","wind (none)","herb",0.25,1,0.37,7,NA,NA,NA,NA,0.9,7,NA,7,"field","temperate","McEvoy & Cox 1987","Senecio","jacobaea",NA,"Senecio jacobaea","Senecio jacobaea","Senecio jacobaea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:8965572"
"Stillingia sylvatica",NA,"Stillingia","Euphorbiaceae","Malpighiales","ballistic","herb",40.2,NA,NA,3,NA,NA,1.08,NA,NA,3,NA,3,"field","temperate","Stamp & Lucas 1990","Stillingia","sylvatica",NA,"Stillingia sylvatica","Stillingia sylvatica","Stillingia sylvatica","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","gbif","GBIF:3055154"
"Viola odorata",NA,"Viola","Violaceae","Malpighiales","wind (none)","herb",4,0.1,NA,0.02,NA,NA,0.01,NA,NA,0.02,NA,0.02,"field","temperate","Beattie & Lyons 1975","Viola","odorata",NA,"Viola odorata","Viola odorata","Viola odorata","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Violaceae","gbif","GBIF:5331181"
"Viola pedata",NA,"Viola","Violaceae","Malpighiales","ant","herb",0.93,NA,NA,1.5,NA,NA,0.35,NA,NA,1.5,NA,1.5,"field","temperate","Culver & Beattie 1978","Viola","pedata",NA,"Viola pedata","Viola pedata","Viola pedata","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Violaceae","gbif","GBIF:5331278"
"Viola pubescens subsp. scabriuscula","Viola pensylvanica","Viola","Violaceae","Malpighiales","ant","herb",2.43,NA,NA,1.08,NA,NA,0.72,NA,NA,1.08,NA,1.08,"field","temperate","Culver & Beattie 1978","Viola","pubescens","subsp. scabriuscula","Viola pubescens","Viola pubescens","Viola pubescens","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Violaceae","gbif","GBIF:5331338"
"Tristerix corymbosus",NA,"Tristerix","Loranthaceae","Santalales","animal","tree",NA,NA,NA,20,NA,NA,NA,NA,NA,20,NA,20,"field","tropics","Morales et al. 2012","Tristerix","corymbosus",NA,"Tristerix corymbosus","Tristerix corymbosus","Tristerix corymbosus","Plantae","Tracheophyta","Magnoliopsida","Santalales","Loranthaceae","gbif","GBIF:4003938"
"Acacia holosericea",NA,"Acacia","Fabaceae","Fabales","ant","shrub",7.52,NA,NA,13.08,NA,NA,2.57,NA,NA,13.08,NA,13.08,"field","tropics","Andersen & Morrison 1998","Acacia","holosericea",NA,"Acacia holosericea","Acacia holosericea","Acacia holosericea","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2978751"
"Acacia suaveolens",NA,"Acacia","Fabaceae","Fabales","ant","tree",29.7,NA,NA,10.75,NA,NA,2.1,1.3,NA,10.75,NA,10.75,"field","tropics","Andersen 1988","Acacia","suaveolens",NA,"Acacia suaveolens","Acacia suaveolens","Acacia suaveolens","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2979671"
"Acacia cyclops",NA,"Acacia","Fabaceae","Fabales","ant","shrub",30.3,NA,NA,NA,NA,NA,2,NA,NA,NA,12.3371,12.3371,"field","tropics","Gill 1985 in Hughes et al. 1994","Acacia","cyclops",NA,"Acacia cyclops","Acacia cyclops","Acacia cyclops","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2980425"
"Acacia terminalis",NA,"Acacia","Fabaceae","Fabales","ant","shrub",40,NA,NA,11,NA,NA,NA,NA,NA,11,NA,11,"field","tropics","Hughes & Westoby 1992","Acacia","terminalis",NA,"Acacia terminalis","Acacia terminalis","Acacia terminalis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2978771"
"Acacia pulchella",NA,"Acacia","Fabaceae","Fabales","ant","shrub",4.5,NA,NA,NA,NA,NA,1.9,NA,NA,NA,11.7299,11.7299,"field","tropics","Shea et al. 1979 in Hughes et al. 1994","Acacia","pulchella",NA,"Acacia pulchella","Acacia pulchella","Acacia pulchella","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2980170"
"Adriana quadripartita",NA,"Adriana","Euphorbiaceae","Malpighiales","ant","shrub",35,NA,NA,4.9,NA,NA,1.54,NA,NA,4.9,NA,4.9,"field","tropics","Beaumont et al. 2009","Adriana","quadripartita",NA,"Adriana quadripartita","Adriana quadripartita","Adriana quadripartita","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","gbif","GBIF:8321214"
"Brachyloma daphnoides",NA,"Brachyloma","Ericaceae","Ericales","ant","shrub",21.89,NA,NA,5.4,NA,NA,NA,NA,NA,5.4,NA,5.4,"field","tropics","Berg 1975","Brachyloma","daphnoides",NA,"Brachyloma daphnoides","Brachyloma daphnoides","Brachyloma daphnoides","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","gbif","GBIF:6053200"
"Dillwynia juniperina",NA,"Dillwynia","Fabaceae","Fabales","ant","shrub",NA,NA,NA,1.3,NA,NA,NA,NA,NA,1.3,NA,1.3,"field","tropics","Berg 1975","Dillwynia","juniperina",NA,"Dillwynia juniperina","Dillwynia juniperina","Dillwynia juniperina","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:5348681"
"Dillwynia retorta",NA,"Dillwynia","Fabaceae","Fabales","ant","shrub",7,NA,NA,11,NA,NA,NA,NA,NA,11,NA,11,"field","tropics","Hughes & Westoby 1992","Dillwynia","retorta",NA,"Dillwynia retorta","Dillwynia retorta","Dillwynia retorta","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:5348693"
"Goodenia hederacea",NA,"Goodenia","Goodeniaceae","Asterales","ant","herb",NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,5,"field","tropics","Berg 1975","Goodenia","hederacea",NA,"Goodenia hederacea","Goodenia hederacea","Goodenia hederacea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Goodeniaceae","gbif","GBIF:7262165"
"Hibbertia obtusifolia",NA,"Hibbertia","Dilleniaceae","Dilleniales","ant","shrub",NA,NA,NA,5.2,NA,NA,NA,NA,NA,5.2,NA,5.2,"field","tropics","Berg 1975","Hibbertia","obtusifolia",NA,"Hibbertia obtusifolia","Hibbertia obtusifolia","Hibbertia obtusifolia","Plantae","Tracheophyta","Magnoliopsida","Dilleniales","Dilleniaceae","gbif","GBIF:5680863"
"Hovea rosmarinifolia",NA,"Hovea","Fabaceae","Fabales","ant","shrub",NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,"field","tropics","Berg 1975","Hovea","rosmarinifolia",NA,"Hovea rosmarinifolia","Hovea rosmarinifolia","Hovea rosmarinifolia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2974750"
"Macrozamia communis",NA,"Macrozamia","Zamiaceae","Cycadales","animal","tree",10.5,NA,NA,25,NA,NA,9.6,NA,NA,25,NA,25,"field","tropics","Ballardie & Whelan 1986","Macrozamia","communis",NA,"Macrozamia communis","Macrozamia communis","Macrozamia communis","Plantae","Tracheophyta","Cycadopsida","Cycadales","Zamiaceae","gbif","GBIF:2683568"
"Monotoca scoparia",NA,"Monotoca","Ericaceae","Ericales","ant","shrub",NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,5,"field","tropics","Berg 1975","Monotoca","scoparia",NA,"Monotoca scoparia","Monotoca scoparia","Monotoca scoparia","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","gbif","GBIF:7288611"
"Nuytsia floribunda",NA,"Nuytsia","Loranthaceae","Santalales","wind (special)","tree",80.83,NA,NA,37.5,NA,NA,NA,7.5,NA,37.5,NA,37.5,"field","tropics","Lamont 1985 in Hughes et al. 1994","Nuytsia","floribunda",NA,"Nuytsia floribunda","Nuytsia floribunda","Nuytsia floribunda","Plantae","Tracheophyta","Magnoliopsida","Santalales","Loranthaceae","gbif","GBIF:4004137"
"Sclerolaena diacantha",NA,"Sclerolaena","Amaranthaceae","Caryophyllales","ant","herb",5.44,NA,NA,77,NA,NA,NA,NA,NA,77,NA,77,"field","tropics","Davidson & Morton 1981","Sclerolaena","diacantha",NA,"Sclerolaena diacantha","Sclerolaena diacantha","Sclerolaena diacantha","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","gbif","GBIF:8199472"
"Ficus crassiramea","Ficus subtecta","Ficus","Moraceae","Rosales","animal","tree",NA,NA,NA,60,NA,NA,5.36,NA,NA,60,NA,60,"field","tropics","Laman 1996","Ficus","crassiramea",NA,"Ficus crassiramea","Ficus crassiramea","Ficus crassiramea","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","gbif","GBIF:7262389"
"Ficus crassiramea subsp. stupenda","Ficus stupenda","Ficus","Moraceae","Rosales","animal","tree",NA,NA,NA,60,NA,NA,6.67,NA,NA,60,NA,60,"field","tropics","Laman 1996","Ficus","crassiramea","subsp. stupenda","Ficus crassiramea","Ficus crassiramea","Ficus crassiramea","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","gbif","GBIF:7262389"
"Aristida congesta",NA,"Aristida","Poaceae","Poales","wind (none)","herb",0.48,NA,2.16,2.31,NA,NA,NA,NA,NA,2.31,NA,2.31,"model","tropics","Ernst et al. 1992","Aristida","congesta",NA,"Aristida congesta","Aristida congesta","Aristida congesta","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:4128792"
"Cenchrus ciliaris",NA,"Cenchrus","Poaceae","Poales","wind (none)","herb",1.51,NA,1.24,7.26,NA,NA,NA,NA,NA,7.26,NA,7.26,"model","tropics","Ernst et al. 1992","Cenchrus","ciliaris",NA,"Cenchrus ciliaris","Cenchrus ciliaris","Cenchrus ciliaris","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:4109540"
"Chloris virgata",NA,"Chloris","Poaceae","Poales","wind (special)","herb",0.57,NA,0.9,5.56,NA,NA,NA,NA,NA,5.56,NA,5.56,"model","tropics","Ernst et al. 1992","Chloris","virgata",NA,"Chloris virgata","Chloris virgata","Chloris virgata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:5289624"
"Enneapogon cenchroides",NA,"Enneapogon","Poaceae","Poales","wind (special)","herb",0.33,NA,0.61,13.11,NA,NA,NA,NA,NA,13.11,NA,13.11,"model","tropics","Ernst et al. 1992","Enneapogon","cenchroides",NA,"Enneapogon cenchroides","Enneapogon cenchroides","Enneapogon cenchroides","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:8669627"
"Eragrostis cylindriflora","Eragrostis rigidor","Eragrostis","Poaceae","Poales","wind (none)","herb",0.13,NA,1.08,10.19,NA,NA,NA,NA,NA,10.19,NA,10.19,"model","tropics","Ernst et al. 1992","Eragrostis","cylindriflora",NA,"Eragrostis cylindriflora","Eragrostis cylindriflora","Eragrostis cylindriflora","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2705391"
"Panicum maximum",NA,"Panicum","Poaceae","Poales","wind (none)","herb",0.81,NA,1.19,7.95,NA,NA,NA,NA,NA,7.95,NA,7.95,"model","tropics","Ernst et al. 1992","Panicum","maximum",NA,"Panicum maximum","Panicum maximum","Panicum maximum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:7562245"
"Schmidtia pappophoroides",NA,"Schmidtia","Poaceae","Poales","wind (special)","herb",5.62,NA,1.45,7.59,NA,NA,NA,NA,NA,7.59,NA,7.59,"model","tropics","Ernst et al. 1992","Schmidtia","pappophoroides",NA,"Schmidtia pappophoroides","Schmidtia pappophoroides","Schmidtia pappophoroides","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:5674887"
"Setaria verticillata",NA,"Setaria","Poaceae","Poales","wind (none)","herb",0.8,0.6,2.44,3.28,NA,NA,NA,NA,NA,3.28,NA,3.28,"model","tropics","Ernst et al. 1992","Setaria","verticillata",NA,"Setaria verticillata","Setaria verticillata","Setaria verticillata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:5289686"
"Tragus berteronianus",NA,"Tragus","Poaceae","Poales","wind (none)","herb",0.47,NA,1.34,2.24,NA,NA,NA,NA,NA,2.24,NA,2.24,"model","tropics","Ernst et al. 1992","Tragus","berteronianus",NA,"Tragus berteronianus","Tragus berteronianus","Tragus berteronianus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:5290129"
"Urochloa mosambicensis",NA,"Urochloa","Poaceae","Poales","wind (none)","herb",1.56,NA,1.57,4.46,NA,NA,NA,NA,NA,4.46,NA,4.46,"model","tropics","Ernst et al. 1992","Urochloa","mosambicensis",NA,"Urochloa mosambicensis","Urochloa mosambicensis","Urochloa trichopus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:4149632"
"Urochloa panicoides",NA,"Urochloa","Poaceae","Poales","wind (none)","herb",2.93,NA,2.22,3.16,NA,NA,NA,NA,NA,3.16,NA,3.16,"model","tropics","Ernst et al. 1992","Urochloa","panicoides",NA,"Urochloa panicoides","Urochloa panicoides","Urochloa panicoides","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2705869"
"Bertholletia excelsa",NA,"Bertholletia","Lecythidaceae","Ericales","animal","tree",6700,NA,NA,60,NA,NA,20.8,NA,NA,60,NA,60,"field","tropics","Tuck Haugaasen 2012","Bertholletia","excelsa",NA,"Bertholletia excelsa","Bertholletia excelsa","Bertholletia excelsa","Plantae","Tracheophyta","Magnoliopsida","Ericales","Lecythidaceae","gbif","GBIF:3083180"
"Murraya paniculata",NA,"Murraya","Rutaceae","Sapindales","ant","shrub",83.33,NA,NA,21,NA,NA,NA,NA,NA,21,NA,21,"field","tropics","Pikart et al. 2011","Murraya","paniculata",NA,"Murraya paniculata","Murraya paniculata","Murraya paniculata","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Rutaceae","gbif","GBIF:8190743"
"Swietenia macrophylla",NA,"Swietenia","Meliaceae","Sapindales","wind (special)","tree",350,NA,NA,NA,NA,NA,NA,NA,95.3,NA,552.621,552.621,"field","tropics","Grogan & Galvao 2006","Swietenia","macrophylla",NA,"Swietenia macrophylla","Swietenia macrophylla","Swietenia macrophylla","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","gbif","GBIF:3190484"
"Acer saccharum",NA,"Acer","Sapindaceae","Sapindales","wind (special)","tree",55.2,NA,1.02,150,NA,NA,NA,NA,NA,150,NA,150,"field","temperate","Greene & Johnson 1996","Acer","saccharum",NA,"Acer saccharum","Acer saccharum","Acer saccharum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189859"
"Artemisia frigida",NA,"Artemisia","Asteraceae","Asterales","wind (special)","herb",0.08,NA,NA,25,NA,NA,3,NA,NA,25,NA,25,"field","temperate","Hume & Archbold 1986 in Cain et al. 1998","Artemisia","frigida",NA,"Artemisia frigida","Artemisia frigida","Artemisia frigida","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3121436"
"Asarum canadense",NA,"Asarum","Aristolochiaceae","Piperales","ant","herb",13.7,NA,NA,35,NA,NA,1.54,0.25,NA,35,NA,35,"field","temperate","Cain et al. 1998","Asarum","canadense",NA,"Asarum canadense","Asarum canadense","Asarum canadense","Plantae","Tracheophyta","Magnoliopsida","Piperales","Aristolochiaceae","gbif","GBIF:2873947"
"Betula papyrifera",NA,"Betula","Betulaceae","Fagales","wind (special)","tree",0.4,NA,NA,475,NA,NA,NA,NA,NA,475,NA,475,"field","temperate","Greene & Johnson 1995 in Cain et al. 1998","Betula","papyrifera",NA,"Betula papyrifera","Betula papyrifera","Betula papyrifera","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:5332120"
"Betula alleghaniensis",NA,"Betula","Betulaceae","Fagales","wind (none)","tree",0.9,NA,0.95,250,NA,NA,85,NA,NA,250,NA,250,"field","temperate","Greene & Johnson 1997","Betula","alleghaniensis",NA,"Betula alleghaniensis","Betula alleghaniensis","Betula alleghaniensis","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:5331779"
"Bromus inermis",NA,"Bromus","Poaceae","Poales","wind (special)","herb",2.9,0.9,NA,7,NA,NA,1.72,NA,NA,7,NA,7,"field","temperate","Hume & Archbold 1986 in Vittoz & Engler 2007","Bromus","inermis",NA,"Bromus inermis","Bromus inermis","Bromus inermis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2703670"
"Dipsacus fullonum","Dipsacus sylvestris","Dipsacus","Caprifoliaceae","Dipsacales","wind (none)","herb",3.1,NA,NA,1.5,NA,NA,0.2,NA,NA,1.5,NA,1.5,"field","temperate","Werner 1975 in Cain et al. 1998","Dipsacus","fullonum",NA,"Dipsacus fullonum","Dipsacus fullonum","Dipsacus fullonum","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","gbif","GBIF:8435025"
"Elymus repens","Agropyron repens","Elymus","Poaceae","Poales","wind (none)","herb",2.1,NA,NA,NA,NA,NA,7,NA,NA,NA,42.323,42.323,"field","temperate","Hume & Archbold 1986 in Cain et al. 1998","Elymus","repens",NA,"Elymus repens","Elymus repens","Elymus repens","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:5290299"
"Fraxinus americana",NA,"Fraxinus","Oleaceae","Lamiales","wind (special)","tree",38.1,NA,1.42,130,NA,NA,NA,NA,NA,130,NA,130,"field","temperate","Greene & Johnson 1996","Fraxinus","americana",NA,"Fraxinus americana","Fraxinus americana","Fraxinus americana","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","gbif","GBIF:3172327"
"Hieracium aurantiacum",NA,"Hieracium","Asteraceae","Asterales","wind (special)","herb",NA,0.5,0.33,1.9,NA,NA,NA,0.1,NA,1.9,NA,1.9,"field","temperate","Stergios 1976 in Willson 1993","Hieracium","aurantiacum",NA,"Hieracium aurantiacum","Hieracium aurantiacum","Pilosella aurantiaca","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3122924"
"Juniperus virginiana",NA,"Juniperus","Cupressaceae","Pinales","wind (special)","tree",15.1,NA,NA,1200,NA,NA,NA,NA,NA,1200,NA,1200,"field","temperate","Greene & Johnson 1995 in Cain et al. 1998","Juniperus","virginiana",NA,"Juniperus virginiana","Juniperus virginiana","Juniperus virginiana","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","gbif","GBIF:2684391"
"Lithospermum caroliniense",NA,"Lithospermum","Boraginaceae","UnplacedEuasteridI","wind (none)","herb",5.66,NA,NA,199,NA,NA,58.8,NA,NA,199,NA,199,"field","temperate","Westelaken & Maun 1985 in Cain et al. 1998","Lithospermum","caroliniense",NA,"Lithospermum caroliniense","Lithospermum caroliniense","Lithospermum caroliniense","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","gbif","GBIF:10238910"
