"reported_name","reported_name_fixed","scientificName","scientificName_checked","kingdom","phylum","class","order","family","db","db_code","ObservationTypeSpecific","Source","Field","DispersalDistance","Code","Unit","Database","Sex","group","type","ObservationTypeGeneral","DispersalDistanceKm"
"Betula papyrifera","Betula papyrifera","Betula papyrifera","Betula papyrifera","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:5332120","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMin",40,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.04
"Betula papyrifera","Betula papyrifera","Betula papyrifera","Betula papyrifera","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:5332120","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMax",50,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.05
"Betula papyrifera","Betula papyrifera","Betula papyrifera","Betula papyrifera","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:5332120","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MaxDispersalDistanceMean",100,"MaxDispersalDistance","m","TRY database",NA,"Plants","Max","seed dispersal",0.1
"Tsuga canadensis","Tsuga canadensis","Tsuga canadensis","Tsuga canadensis","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2687182","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMean",30,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.03
"Eucalyptus globulus","Eucalyptus globulus","Eucalyptus globulus","Eucalyptus globulus","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","gbif","GBIF:3176787","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMax",20,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.02
"Thuja occidentalis","Thuja occidentalis","Thuja occidentalis","Thuja occidentalis","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","gbif","GBIF:2684178","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMin",45,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.045
"Thuja occidentalis","Thuja occidentalis","Thuja occidentalis","Thuja occidentalis","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","gbif","GBIF:2684178","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMax",60,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.06
"Gordonia lasianthus","Gordonia lasianthus","Gordonia lasianthus","Gordonia lasianthus","Plantae","Tracheophyta","Magnoliopsida","Ericales","Theaceae","gbif","GBIF:5421090","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMin",10,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.01
"Gordonia lasianthus","Gordonia lasianthus","Gordonia lasianthus","Gordonia lasianthus","Plantae","Tracheophyta","Magnoliopsida","Ericales","Theaceae","gbif","GBIF:5421090","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMax",21,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.021
"Gordonia lasianthus","Gordonia lasianthus","Gordonia lasianthus","Gordonia lasianthus","Plantae","Tracheophyta","Magnoliopsida","Ericales","Theaceae","gbif","GBIF:5421090","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MaxDispersalDistanceMean",42,"MaxDispersalDistance","m","TRY database",NA,"Plants","Max","seed dispersal",0.042
"Picea rubens","Picea rubens","Picea rubens","Picea rubens","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5284717","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMax",100,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.1
"Pinus echinata","Pinus echinata","Pinus echinata","Pinus echinata","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5285324","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMin",20,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.02
"Pinus echinata","Pinus echinata","Pinus echinata","Pinus echinata","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5285324","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMax",40,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.04
"Pinus monticola","Pinus monticola","Pinus monticola","Pinus monticola","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5285621","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMax",120,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.12
"Pinus monticola","Pinus monticola","Pinus monticola","Pinus monticola","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5285621","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MaxDispersalDistanceMean",800,"MaxDispersalDistance","m","TRY database",NA,"Plants","Max","seed dispersal",0.8
"Pinus ponderosa","Pinus ponderosa","Pinus ponderosa","Pinus ponderosa","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5285053","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMax",37,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.037
"Pinus ponderosa","Pinus ponderosa","Pinus ponderosa","Pinus ponderosa","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5285053","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MaxDispersalDistanceMean",120,"MaxDispersalDistance","m","TRY database",NA,"Plants","Max","seed dispersal",0.12
"Pinus resinosa","Pinus resinosa","Pinus resinosa","Pinus resinosa","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5285067","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMax",12,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.012
"Pinus resinosa","Pinus resinosa","Pinus resinosa","Pinus resinosa","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5285067","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MaxDispersalDistanceMean",275,"MaxDispersalDistance","m","TRY database",NA,"Plants","Max","seed dispersal",0.275
"Sequoia sempervirens","Sequoia sempervirens","Sequoia sempervirens","Sequoia sempervirens","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","gbif","GBIF:2683909","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMax",61,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.061
"Sequoia sempervirens","Sequoia sempervirens","Sequoia sempervirens","Sequoia sempervirens","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","gbif","GBIF:2683909","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MaxDispersalDistanceMean",122,"MaxDispersalDistance","m","TRY database",NA,"Plants","Max","seed dispersal",0.122
"Tsuga heterophylla","Tsuga heterophylla","Tsuga heterophylla","Tsuga heterophylla","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2687210","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMax",610,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.61
"Tsuga heterophylla","Tsuga heterophylla","Tsuga heterophylla","Tsuga heterophylla","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2687210","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MaxDispersalDistanceMin",1160,"MaxDispersalDistance","m","TRY database",NA,"Plants","Max","seed dispersal",1.16
"Tsuga heterophylla","Tsuga heterophylla","Tsuga heterophylla","Tsuga heterophylla","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2687210","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MaxDispersalDistanceMax",1600,"MaxDispersalDistance","m","TRY database",NA,"Plants","Max","seed dispersal",1.6
"Picea sitchensis","Picea sitchensis","Picea sitchensis","Picea sitchensis","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5284827","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMin",30,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.03
"Picea sitchensis","Picea sitchensis","Picea sitchensis","Picea sitchensis","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5284827","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MaxDispersalDistanceMean",800,"MaxDispersalDistance","m","TRY database",NA,"Plants","Max","seed dispersal",0.8
"Pinus banksiana","Pinus banksiana","Pinus banksiana","Pinus banksiana","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5285533","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMin",30,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.03
"Pinus banksiana","Pinus banksiana","Pinus banksiana","Pinus banksiana","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5285533","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMax",60,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.06
"Pinus contorta","Pinus contorta","Pinus contorta","Pinus contorta","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5285750","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMin",20,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.02
"Pinus contorta","Pinus contorta","Pinus contorta","Pinus contorta","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5285750","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMax",60,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.06
"Pinus rigida","Pinus rigida","Pinus rigida","Pinus rigida","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5285635","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMax",90,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.09
"Pinus serotina","Pinus serotina","Pinus serotina","Pinus serotina","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5285602","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMean",100,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.1
"Pinus strobus","Pinus strobus","Pinus strobus","Pinus strobus","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5284982","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMax",60,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.06
"Pinus strobus","Pinus strobus","Pinus strobus","Pinus strobus","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5284982","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MaxDispersalDistanceMean",210,"MaxDispersalDistance","m","TRY database",NA,"Plants","Max","seed dispersal",0.21
"Pinus sylvestris","Pinus sylvestris","Pinus sylvestris","Pinus sylvestris","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5285637","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMin",50,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.05
"Pinus sylvestris","Pinus sylvestris","Pinus sylvestris","Pinus sylvestris","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5285637","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMax",100,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.1
"Pinus sylvestris","Pinus sylvestris","Pinus sylvestris","Pinus sylvestris","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5285637","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MaxDispersalDistanceMean",1000,"MaxDispersalDistance","m","TRY database",NA,"Plants","Max","seed dispersal",1
"Pinus taeda","Pinus taeda","Pinus taeda","Pinus taeda","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5285241","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMin",23,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.023
"Pinus taeda","Pinus taeda","Pinus taeda","Pinus taeda","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5285241","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMax",30,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.03
"Pinus taeda","Pinus taeda","Pinus taeda","Pinus taeda","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5285241","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MaxDispersalDistanceMin",61,"MaxDispersalDistance","m","TRY database",NA,"Plants","Max","seed dispersal",0.061
"Pinus taeda","Pinus taeda","Pinus taeda","Pinus taeda","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5285241","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MaxDispersalDistanceMean",91,"MaxDispersalDistance","m","TRY database",NA,"Plants","Max","seed dispersal",0.091
"Pinus virginiana","Pinus virginiana","Pinus virginiana","Pinus virginiana","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:5285091","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMax",30,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.03
"Sequoiadendron giganteum","Sequoiadendron giganteum","Sequoiadendron giganteum","Sequoiadendron giganteum","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","gbif","GBIF:2684120","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMax",400,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.4
"Larix laricina","Larix laricina","Larix laricina","Larix laricina","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2686231","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MeanDispersalDistanceMean",46,"MeanDispersalDistance","m","TRY database",NA,"Plants","Mean","seed dispersal",0.046
"Larix laricina","Larix laricina","Larix laricina","Larix laricina","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2686231","seed/plant dispersal (unknown)","Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.","MaxDispersalDistanceMean",60,"MaxDispersalDistance","m","TRY database",NA,"Plants","Max","seed dispersal",0.06
